køn	alder	fraflytningskommune	tilflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	30-34 år	København	Frederikshavn	13	7	7	6	8	3	8	5	5	9	8	5
Mænd	30-34 år	København	Hjørring	7	10	11	6	4	8	7	2	1	2	9	5
Mænd	30-34 år	København	Jammerbugt	3	3	4	2	2	2	0	3	2	3	2	3
Mænd	30-34 år	København	Læsø	0	0	0	0	0	1	0	2	2	0	0	0
Mænd	30-34 år	København	Mariagerfjord	2	6	3	1	6	4	4	4	6	4	3	2
Mænd	30-34 år	København	Morsø	0	1	2	0	0	1	1	0	1	1	0	0
Mænd	30-34 år	København	Rebild	4	3	3	1	3	0	4	1	1	2	3	4
Mænd	30-34 år	København	Thisted	4	5	3	5	6	1	1	0	8	7	7	6
Mænd	30-34 år	København	Vesthimmerlands	1	4	3	1	1	3	1	1	2	2	2	1
Mænd	30-34 år	København	Aalborg	32	38	27	36	32	27	32	39	34	41	47	31
Mænd	30-34 år	Frederiksberg	København	519	566	501	467	505	516	481	532	559	559	534	563
Mænd	30-34 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Dragør	3	1	4	6	5	3	4	1	2	2	3	4
Mænd	30-34 år	Frederiksberg	Tårnby	6	9	10	4	13	7	6	12	8	3	2	5
Mænd	30-34 år	Frederiksberg	Albertslund	6	6	6	2	4	4	2	5	5	3	6	1
Mænd	30-34 år	Frederiksberg	Ballerup	10	9	10	10	11	6	2	12	11	10	10	7
Mænd	30-34 år	Frederiksberg	Brøndby	5	6	5	2	8	3	3	10	2	7	2	5
Mænd	30-34 år	Frederiksberg	Gentofte	30	23	25	30	34	37	32	40	28	31	32	41
Mænd	30-34 år	Frederiksberg	Gladsaxe	23	21	22	23	29	33	20	23	21	17	24	23
Mænd	30-34 år	Frederiksberg	Glostrup	5	9	10	5	6	4	2	9	8	10	7	4
Mænd	30-34 år	Frederiksberg	Herlev	4	5	6	8	5	12	8	8	6	9	5	3
Mænd	30-34 år	Frederiksberg	Hvidovre	25	16	18	15	9	17	17	10	20	10	9	24
Mænd	30-34 år	Frederiksberg	Høje-Taastrup	13	10	6	8	5	6	9	7	9	8	8	11
Mænd	30-34 år	Frederiksberg	Ishøj	2	4	2	0	4	1	3	3	2	1	3	3
Mænd	30-34 år	Frederiksberg	Lyngby-Taarbæk	15	18	20	14	25	13	18	17	19	34	20	23
Mænd	30-34 år	Frederiksberg	Rødovre	24	19	9	15	16	10	16	16	15	22	17	23
Mænd	30-34 år	Frederiksberg	Vallensbæk	3	6	11	5	5	5	9	8	1	2	2	7
Mænd	30-34 år	Frederiksberg	Allerød	15	8	12	5	7	2	7	7	8	12	3	4
Mænd	30-34 år	Frederiksberg	Egedal	13	8	15	9	6	4	9	8	4	10	7	9
Mænd	30-34 år	Frederiksberg	Fredensborg	14	13	11	7	7	7	3	7	8	12	4	11
Mænd	30-34 år	Frederiksberg	Frederikssund	4	5	4	5	6	7	1	1	5	3	8	7
Mænd	30-34 år	Frederiksberg	Furesø	11	19	13	9	9	12	14	17	23	19	12	11
Mænd	30-34 år	Frederiksberg	Gribskov	4	1	1	4	2	4	4	3	2	12	5	0
Mænd	30-34 år	Frederiksberg	Halsnæs	3	6	2	2	5	1	0	4	3	5	2	1
Mænd	30-34 år	Frederiksberg	Helsingør	12	8	9	8	10	4	5	3	4	8	6	17
Mænd	30-34 år	Frederiksberg	Hillerød	10	7	9	8	3	6	5	7	8	10	7	10
Mænd	30-34 år	Frederiksberg	Hørsholm	6	4	1	6	3	4	7	8	4	2	5	6
Mænd	30-34 år	Frederiksberg	Rudersdal	12	12	18	16	18	21	11	16	24	24	12	29
Mænd	30-34 år	Frederiksberg	Bornholm	1	4	1	1	1	6	0	0	2	2	1	1
Mænd	30-34 år	Frederiksberg	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Greve	17	13	10	6	3	2	11	4	7	7	6	7
Mænd	30-34 år	Frederiksberg	Køge	11	5	6	8	3	6	7	5	5	8	8	7
Mænd	30-34 år	Frederiksberg	Lejre	5	2	0	5	1	4	4	1	2	3	4	1
Mænd	30-34 år	Frederiksberg	Roskilde	30	12	10	11	10	14	12	17	16	10	17	20
Mænd	30-34 år	Frederiksberg	Solrød	8	4	2	4	1	1	2	4	5	4	2	4
Mænd	30-34 år	Frederiksberg	Faxe	3	3	3	3	6	3	1	1	0	1	2	3
Mænd	30-34 år	Frederiksberg	Guldborgsund	4	1	3	0	2	3	1	6	4	1	3	3
Mænd	30-34 år	Frederiksberg	Holbæk	8	7	5	4	3	3	3	6	2	5	10	7
Mænd	30-34 år	Frederiksberg	Kalundborg	2	1	3	0	3	3	2	1	1	1	2	1
Mænd	30-34 år	Frederiksberg	Lolland	6	0	0	1	2	1	4	1	1	3	0	5
Mænd	30-34 år	Frederiksberg	Næstved	11	7	0	6	2	3	3	3	2	7	4	9
Mænd	30-34 år	Frederiksberg	Odsherred	5	1	2	1	2	1	2	2	0	2	1	2
Mænd	30-34 år	Frederiksberg	Ringsted	5	4	4	4	2	2	1	0	3	1	1	4
Mænd	30-34 år	Frederiksberg	Slagelse	2	4	4	5	4	3	3	4	3	4	2	6
Mænd	30-34 år	Frederiksberg	Sorø	8	2	3	2	0	1	3	4	5	0	4	1
Mænd	30-34 år	Frederiksberg	Stevns	4	4	2	0	1	1	2	2	0	1	3	2
Mænd	30-34 år	Frederiksberg	Vordingborg	3	2	1	3	0	1	3	0	1	2	4	3
Mænd	30-34 år	Frederiksberg	Assens	0	1	1	2	1	0	0	0	1	0	0	1
Mænd	30-34 år	Frederiksberg	Faaborg-Midtfyn	1	2	1	0	1	0	1	1	2	1	0	0
Mænd	30-34 år	Frederiksberg	Kerteminde	1	0	0	0	0	0	1	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Langeland	0	0	0	0	1	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Middelfart	1	4	1	0	1	1	1	1	0	0	1	2
Mænd	30-34 år	Frederiksberg	Nordfyns	2	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Nyborg	0	0	0	2	1	0	0	1	0	1	0	1
Mænd	30-34 år	Frederiksberg	Odense	8	11	11	8	5	5	3	9	10	10	8	8
Mænd	30-34 år	Frederiksberg	Svendborg	6	5	5	1	2	1	5	2	0	2	6	4
Mænd	30-34 år	Frederiksberg	Ærø	0	0	1	0	0	1	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Billund	0	1	1	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Esbjerg	2	3	0	2	4	4	1	1	7	0	1	4
Mænd	30-34 år	Frederiksberg	Fanø	0	0	0	0	0	0	0	0	0	0	0	2
Mænd	30-34 år	Frederiksberg	Fredericia	1	1	1	1	0	2	1	3	3	1	1	1
Mænd	30-34 år	Frederiksberg	Haderslev	0	0	2	2	1	0	2	1	1	1	1	2
Mænd	30-34 år	Frederiksberg	Kolding	2	2	1	2	2	1	1	5	2	2	3	4
Mænd	30-34 år	Frederiksberg	Sønderborg	0	1	1	1	0	2	2	1	1	0	1	4
Mænd	30-34 år	Frederiksberg	Tønder	0	0	0	0	1	0	1	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Varde	0	1	0	0	2	2	0	0	1	1	1	1
Mænd	30-34 år	Frederiksberg	Vejen	0	3	0	0	0	1	0	0	1	0	0	0
Mænd	30-34 år	Frederiksberg	Vejle	9	3	2	5	2	2	0	3	3	5	4	4
Mænd	30-34 år	Frederiksberg	Aabenraa	0	2	1	1	0	1	0	0	0	1	0	1
Mænd	30-34 år	Frederiksberg	Favrskov	2	0	0	0	0	0	0	2	0	1	1	1
Mænd	30-34 år	Frederiksberg	Hedensted	0	1	0	0	1	0	1	0	1	0	0	1
Mænd	30-34 år	Frederiksberg	Horsens	2	3	3	1	3	0	1	1	0	1	2	1
Mænd	30-34 år	Frederiksberg	Norddjurs	0	1	0	1	1	1	0	0	0	2	0	0
Mænd	30-34 år	Frederiksberg	Odder	1	0	1	1	0	1	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Randers	3	0	5	2	0	2	2	0	1	0	0	3
Mænd	30-34 år	Frederiksberg	Samsø	0	0	0	0	0	0	1	0	0	0	2	0
Mænd	30-34 år	Frederiksberg	Silkeborg	5	3	3	3	5	0	4	2	3	3	6	5
Mænd	30-34 år	Frederiksberg	Skanderborg	4	5	2	0	6	1	1	1	3	2	3	2
Mænd	30-34 år	Frederiksberg	Syddjurs	2	0	1	1	0	1	1	0	1	0	1	1
Mænd	30-34 år	Frederiksberg	Aarhus	16	16	16	16	19	11	5	12	14	20	15	19
Mænd	30-34 år	Frederiksberg	Herning	1	0	4	3	1	0	1	4	2	1	1	0
Mænd	30-34 år	Frederiksberg	Holstebro	2	0	7	0	1	1	2	3	1	1	0	3
Mænd	30-34 år	Frederiksberg	Ikast-Brande	1	0	0	1	0	0	0	1	3	0	0	0
Mænd	30-34 år	Frederiksberg	Lemvig	0	0	0	0	0	0	1	0	0	0	1	0
Mænd	30-34 år	Frederiksberg	Ringkøbing-Skjern	0	0	1	1	0	0	1	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Skive	0	1	0	2	0	0	1	0	0	0	1	0
Mænd	30-34 år	Frederiksberg	Struer	1	0	0	1	0	0	0	1	0	0	0	0
Mænd	30-34 år	Frederiksberg	Viborg	2	4	2	2	3	2	1	0	0	1	1	1
Mænd	30-34 år	Frederiksberg	Brønderslev	1	0	0	0	0	0	0	0	0	1	0	1
Mænd	30-34 år	Frederiksberg	Frederikshavn	0	3	0	2	1	2	0	0	1	0	1	0
Mænd	30-34 år	Frederiksberg	Hjørring	0	1	0	0	0	1	3	0	1	3	0	0
Mænd	30-34 år	Frederiksberg	Jammerbugt	2	0	1	0	1	0	1	0	1	0	1	0
Mænd	30-34 år	Frederiksberg	Læsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Mariagerfjord	2	0	2	0	0	2	1	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Morsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Rebild	2	0	0	1	0	1	2	0	0	1	1	0
Mænd	30-34 år	Frederiksberg	Thisted	0	0	1	1	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Vesthimmerlands	0	1	1	0	0	0	0	0	0	0	1	0
Mænd	30-34 år	Frederiksberg	Aalborg	7	5	4	1	5	7	1	4	5	1	7	5
Mænd	35-39 år	København	København	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	København	Frederiksberg	278	254	257	299	335	320	323	351	305	311	270	242
Mænd	35-39 år	København	Dragør	20	18	25	26	20	21	23	26	42	28	33	33
Mænd	35-39 år	København	Tårnby	67	63	72	73	82	85	89	115	118	124	101	119
Mænd	35-39 år	København	Albertslund	24	14	34	29	25	24	28	30	32	22	23	28
Mænd	35-39 år	København	Ballerup	47	38	44	36	50	33	40	44	59	54	45	47
Mænd	35-39 år	København	Brøndby	34	27	31	21	44	18	36	39	47	46	45	48
Mænd	35-39 år	København	Gentofte	106	128	140	158	179	144	154	173	198	185	133	158
Mænd	35-39 år	København	Gladsaxe	101	90	106	105	93	95	101	125	144	147	138	165
Mænd	35-39 år	København	Glostrup	13	29	15	26	29	23	19	29	24	34	30	26
Mænd	35-39 år	København	Herlev	31	32	28	18	28	22	36	31	52	44	31	39
Mænd	35-39 år	København	Hvidovre	63	69	47	70	73	90	67	92	110	122	74	106
Mænd	35-39 år	København	Høje-Taastrup	43	40	43	43	40	44	46	58	54	67	60	77
Mænd	35-39 år	København	Ishøj	20	13	14	17	14	18	21	26	19	26	14	39
Mænd	35-39 år	København	Lyngby-Taarbæk	63	48	75	100	85	90	102	87	93	88	74	64
Mænd	35-39 år	København	Rødovre	41	46	44	58	79	65	76	69	77	65	75	82
Mænd	35-39 år	København	Vallensbæk	7	15	24	24	19	19	20	26	20	20	20	35
Mænd	35-39 år	København	Allerød	18	12	15	22	21	22	20	26	23	29	21	28
Mænd	35-39 år	København	Egedal	39	33	34	24	38	47	43	35	28	43	47	31
Mænd	35-39 år	København	Fredensborg	39	40	41	25	31	33	34	30	46	48	36	39
Mænd	35-39 år	København	Frederikssund	20	25	17	23	20	16	25	14	23	25	24	29
Mænd	35-39 år	København	Furesø	25	41	50	58	51	50	64	72	76	76	71	73
Mænd	35-39 år	København	Gribskov	24	27	31	22	20	22	25	24	24	22	22	28
Mænd	35-39 år	København	Halsnæs	17	7	18	11	10	8	13	17	10	13	13	17
Mænd	35-39 år	København	Helsingør	35	35	30	32	31	44	33	39	41	48	37	46
Mænd	35-39 år	København	Hillerød	38	34	31	19	39	22	26	36	38	42	41	38
Mænd	35-39 år	København	Hørsholm	23	12	15	20	26	26	29	20	38	24	21	18
Mænd	35-39 år	København	Rudersdal	46	41	55	60	60	75	74	78	81	82	60	73
Mænd	35-39 år	København	Bornholm	14	10	13	12	10	19	14	5	12	18	14	16
Mænd	35-39 år	København	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	København	Greve	33	40	42	31	44	42	40	30	56	72	52	47
Mænd	35-39 år	København	Køge	30	34	32	26	28	18	26	31	36	43	32	35
Mænd	35-39 år	København	Lejre	19	11	9	17	22	12	18	22	16	23	14	28
Mænd	35-39 år	København	Roskilde	52	48	64	44	59	45	53	60	46	62	71	78
Mænd	35-39 år	København	Solrød	19	8	18	10	22	14	12	22	27	17	31	21
Mænd	35-39 år	København	Faxe	18	21	15	6	15	13	10	12	16	16	11	18
Mænd	35-39 år	København	Guldborgsund	21	17	11	12	15	14	21	10	15	22	17	4
Mænd	35-39 år	København	Holbæk	54	31	19	18	22	35	19	18	16	25	21	31
Mænd	35-39 år	København	Kalundborg	19	14	7	10	9	7	7	13	7	15	13	14
Mænd	35-39 år	København	Lolland	8	14	14	10	10	6	7	13	13	4	10	9
Mænd	35-39 år	København	Næstved	20	24	22	12	19	17	14	17	18	21	14	21
Mænd	35-39 år	København	Odsherred	13	10	11	6	10	7	15	12	9	8	15	12
Mænd	35-39 år	København	Ringsted	17	26	13	6	12	12	15	19	18	23	19	22
Mænd	35-39 år	København	Slagelse	33	18	23	18	17	13	17	10	20	22	25	26
Mænd	35-39 år	København	Sorø	15	14	18	10	8	15	10	14	9	13	19	13
Mænd	35-39 år	København	Stevns	11	12	18	7	5	7	11	9	12	8	12	13
Mænd	35-39 år	København	Vordingborg	17	18	20	16	11	17	17	16	19	21	25	28
Mænd	35-39 år	København	Assens	3	3	2	3	0	1	1	1	2	1	2	3
Mænd	35-39 år	København	Faaborg-Midtfyn	6	4	5	5	0	5	2	1	3	3	3	6
Mænd	35-39 år	København	Kerteminde	1	3	5	3	1	5	2	0	4	0	3	1
Mænd	35-39 år	København	Langeland	2	1	2	1	1	1	2	0	3	1	8	0
Mænd	35-39 år	København	Middelfart	4	1	5	3	3	2	2	4	6	7	6	6
Mænd	35-39 år	København	Nordfyns	1	1	0	0	0	2	1	2	0	2	2	2
Mænd	35-39 år	København	Nyborg	5	10	6	2	5	2	3	6	2	3	6	2
Mænd	35-39 år	København	Odense	25	23	22	17	28	20	26	13	16	23	35	32
Mænd	35-39 år	København	Svendborg	12	14	9	10	6	8	2	14	12	15	21	16
Mænd	35-39 år	København	Ærø	0	2	1	2	2	2	4	1	5	4	0	1
Mænd	35-39 år	København	Billund	2	1	1	4	1	2	2	0	1	2	1	1
Mænd	35-39 år	København	Esbjerg	6	14	6	7	8	9	7	8	13	11	10	12
Mænd	35-39 år	København	Fanø	0	0	0	1	0	1	0	1	0	4	1	0
Mænd	35-39 år	København	Fredericia	4	3	2	3	4	4	6	5	3	6	5	6
Mænd	35-39 år	København	Haderslev	2	6	2	1	2	6	5	6	4	4	2	3
Mænd	35-39 år	København	Kolding	5	12	6	10	6	6	7	7	9	9	9	7
Mænd	35-39 år	København	Sønderborg	6	6	3	4	3	6	3	6	0	2	12	7
Mænd	35-39 år	København	Tønder	1	4	1	0	2	2	1	1	3	1	0	8
Mænd	35-39 år	København	Varde	4	2	2	1	1	5	1	0	3	2	1	1
Mænd	35-39 år	København	Vejen	1	3	0	2	2	2	1	1	2	0	1	2
Mænd	35-39 år	København	Vejle	17	10	11	7	8	9	8	12	10	10	18	11
Mænd	35-39 år	København	Aabenraa	2	7	3	3	2	5	2	3	1	4	3	5
Mænd	35-39 år	København	Favrskov	3	2	5	1	3	0	2	4	1	4	5	1
Mænd	35-39 år	København	Hedensted	4	3	1	1	1	0	2	2	3	1	0	2
Mænd	35-39 år	København	Horsens	4	9	8	5	8	6	5	7	4	6	6	6
Mænd	35-39 år	København	Norddjurs	1	2	1	2	4	1	1	4	1	1	1	2
Mænd	35-39 år	København	Odder	2	1	0	0	1	3	1	1	0	1	4	0
Mænd	35-39 år	København	Randers	10	6	5	7	7	8	5	7	4	3	4	4
Mænd	35-39 år	København	Samsø	2	2	0	1	1	0	1	0	1	1	1	0
Mænd	35-39 år	København	Silkeborg	5	17	7	5	6	11	8	8	6	12	8	12
Mænd	35-39 år	København	Skanderborg	5	6	4	7	7	2	7	5	2	6	11	11
Mænd	35-39 år	København	Syddjurs	2	6	4	5	4	7	3	3	4	1	1	7
Mænd	35-39 år	København	Aarhus	43	41	37	33	40	37	32	39	39	53	44	50
Mænd	35-39 år	København	Herning	1	7	11	7	4	3	6	4	8	2	4	11
Mænd	35-39 år	København	Holstebro	8	10	3	2	4	3	5	4	3	1	6	2
Mænd	35-39 år	København	Ikast-Brande	1	2	0	0	0	2	2	3	2	1	3	2
Mænd	35-39 år	København	Lemvig	1	0	2	0	0	1	1	0	0	0	0	3
Mænd	35-39 år	København	Ringkøbing-Skjern	2	3	4	2	1	1	1	1	1	2	2	4
Mænd	35-39 år	København	Skive	2	2	2	1	0	2	0	1	2	4	1	1
Mænd	35-39 år	København	Struer	2	2	0	0	2	0	2	0	1	1	2	0
Mænd	35-39 år	København	Viborg	9	9	6	4	6	9	5	13	6	3	8	8
Mænd	35-39 år	København	Brønderslev	3	5	2	0	2	0	0	2	0	0	2	2
Mænd	35-39 år	København	Frederikshavn	1	5	4	3	9	2	2	0	6	0	5	3
Mænd	35-39 år	København	Hjørring	2	3	5	1	2	2	3	2	1	1	3	2
Mænd	35-39 år	København	Jammerbugt	4	1	3	1	0	0	1	1	1	0	1	3
Mænd	35-39 år	København	Læsø	1	0	2	1	1	0	1	0	1	1	0	1
Mænd	35-39 år	København	Mariagerfjord	1	4	3	3	3	2	1	1	2	3	3	1
Mænd	35-39 år	København	Morsø	1	0	0	1	0	0	1	1	0	1	1	1
Mænd	35-39 år	København	Rebild	1	0	3	1	1	2	0	3	1	1	1	1
Mænd	35-39 år	København	Thisted	3	2	2	4	0	5	1	3	4	4	4	5
Mænd	35-39 år	København	Vesthimmerlands	1	1	1	1	1	0	3	0	0	1	2	0
Mænd	35-39 år	København	Aalborg	17	11	15	18	8	16	16	22	15	22	14	24
Mænd	35-39 år	Frederiksberg	København	227	257	260	256	282	338	322	302	328	290	268	307
Mænd	35-39 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Dragør	3	7	4	7	7	4	2	1	4	5	3	3
Mænd	35-39 år	Frederiksberg	Tårnby	2	8	5	4	2	3	3	8	4	10	7	8
Mænd	35-39 år	Frederiksberg	Albertslund	4	2	1	2	3	3	2	0	5	6	1	2
Mænd	35-39 år	Frederiksberg	Ballerup	6	5	7	12	6	2	4	2	6	6	13	2
Mænd	35-39 år	Frederiksberg	Brøndby	3	3	4	5	2	6	5	5	1	4	5	4
Mænd	35-39 år	Frederiksberg	Gentofte	19	21	22	35	35	43	35	35	29	41	27	37
Mænd	35-39 år	Frederiksberg	Gladsaxe	14	14	14	19	22	20	5	21	16	15	12	13
Mænd	35-39 år	Frederiksberg	Glostrup	2	5	1	3	6	3	3	4	4	2	2	5
Mænd	35-39 år	Frederiksberg	Herlev	4	5	2	2	7	1	5	5	5	7	8	4
Mænd	35-39 år	Frederiksberg	Hvidovre	11	9	10	7	10	10	11	19	19	13	14	17
Mænd	35-39 år	Frederiksberg	Høje-Taastrup	11	7	2	6	4	5	6	1	2	9	4	4
Mænd	35-39 år	Frederiksberg	Ishøj	1	3	5	1	1	2	0	4	1	1	2	3
Mænd	35-39 år	Frederiksberg	Lyngby-Taarbæk	14	14	19	17	23	11	22	16	23	18	25	27
Mænd	35-39 år	Frederiksberg	Rødovre	13	13	6	9	17	12	20	7	19	12	17	15
Mænd	35-39 år	Frederiksberg	Vallensbæk	1	1	6	3	6	2	2	0	2	2	6	5
Mænd	35-39 år	Frederiksberg	Allerød	6	4	8	5	4	8	2	3	3	6	8	5
Mænd	35-39 år	Frederiksberg	Egedal	12	7	8	9	11	6	8	10	7	2	4	7
Mænd	35-39 år	Frederiksberg	Fredensborg	13	5	6	6	10	8	6	4	5	5	4	12
Mænd	35-39 år	Frederiksberg	Frederikssund	8	3	4	1	3	3	1	4	4	3	5	4
Mænd	35-39 år	Frederiksberg	Furesø	14	12	11	9	8	13	18	10	12	14	11	14
Mænd	35-39 år	Frederiksberg	Gribskov	5	1	5	3	3	3	3	3	3	6	4	4
Mænd	35-39 år	Frederiksberg	Halsnæs	5	2	1	2	1	2	0	0	4	0	0	1
Mænd	35-39 år	Frederiksberg	Helsingør	11	4	7	7	8	5	3	7	5	4	8	8
Mænd	35-39 år	Frederiksberg	Hillerød	16	6	5	4	5	3	2	4	7	2	4	12
Mænd	35-39 år	Frederiksberg	Hørsholm	5	3	8	5	4	4	8	3	6	4	2	4
Mænd	35-39 år	Frederiksberg	Rudersdal	13	13	12	16	21	14	18	29	18	17	13	11
Mænd	35-39 år	Frederiksberg	Bornholm	4	1	0	0	2	0	1	0	1	4	4	1
Mænd	35-39 år	Frederiksberg	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Greve	6	6	14	5	6	10	4	5	0	6	9	8
Mænd	35-39 år	Frederiksberg	Køge	12	6	3	3	5	1	6	5	4	9	5	4
Mænd	35-39 år	Frederiksberg	Lejre	1	0	1	2	3	0	1	5	0	8	3	5
Mænd	35-39 år	Frederiksberg	Roskilde	17	8	11	7	11	8	8	10	14	13	17	15
Mænd	35-39 år	Frederiksberg	Solrød	1	2	2	2	6	6	1	2	3	1	1	4
Mænd	35-39 år	Frederiksberg	Faxe	0	3	5	1	0	0	3	1	2	3	2	1
Mænd	35-39 år	Frederiksberg	Guldborgsund	1	2	1	2	4	0	2	1	1	5	5	3
Mænd	35-39 år	Frederiksberg	Holbæk	2	2	4	3	4	7	1	1	2	2	3	3
Mænd	35-39 år	Frederiksberg	Kalundborg	1	1	1	1	2	1	0	1	2	2	1	3
Mænd	35-39 år	Frederiksberg	Lolland	0	2	0	1	1	0	1	1	0	2	1	0
Mænd	35-39 år	Frederiksberg	Næstved	0	6	2	6	3	1	0	4	2	1	4	3
Mænd	35-39 år	Frederiksberg	Odsherred	0	3	0	1	1	1	0	1	0	2	2	2
Mænd	35-39 år	Frederiksberg	Ringsted	7	5	0	5	5	2	1	1	2	3	1	2
Mænd	35-39 år	Frederiksberg	Slagelse	2	2	2	4	3	3	3	1	1	2	3	5
Mænd	35-39 år	Frederiksberg	Sorø	0	3	1	1	1	2	3	2	2	4	4	6
Mænd	35-39 år	Frederiksberg	Stevns	1	0	2	1	0	2	2	0	0	2	0	4
Mænd	35-39 år	Frederiksberg	Vordingborg	2	1	4	1	2	0	2	2	1	4	1	3
Mænd	35-39 år	Frederiksberg	Assens	1	0	1	0	1	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Faaborg-Midtfyn	1	1	0	1	1	1	0	1	0	0	0	0
Mænd	35-39 år	Frederiksberg	Kerteminde	0	0	0	0	0	0	0	0	0	0	0	2
Mænd	35-39 år	Frederiksberg	Langeland	2	0	0	1	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Middelfart	1	0	0	1	0	0	0	0	0	0	1	1
Mænd	35-39 år	Frederiksberg	Nordfyns	0	1	1	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Nyborg	2	1	1	0	1	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Odense	2	4	5	5	7	1	2	4	2	5	6	4
Mænd	35-39 år	Frederiksberg	Svendborg	0	2	1	1	2	2	3	0	0	4	2	2
Mænd	35-39 år	Frederiksberg	Ærø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Billund	0	0	0	0	0	2	0	1	1	0	0	0
Mænd	35-39 år	Frederiksberg	Esbjerg	0	2	0	2	1	1	4	1	1	2	1	1
Mænd	35-39 år	Frederiksberg	Fanø	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Fredericia	0	1	0	2	0	0	2	0	0	1	0	0
Mænd	35-39 år	Frederiksberg	Haderslev	0	0	0	1	0	0	1	0	0	0	1	0
Mænd	35-39 år	Frederiksberg	Kolding	2	2	4	4	3	1	1	1	2	0	1	2
Mænd	35-39 år	Frederiksberg	Sønderborg	1	0	0	1	1	0	0	0	3	2	0	0
Mænd	35-39 år	Frederiksberg	Tønder	1	0	0	0	1	0	0	0	1	0	0	0
Mænd	35-39 år	Frederiksberg	Varde	0	1	1	0	0	0	0	0	0	0	0	1
Mænd	35-39 år	Frederiksberg	Vejen	0	0	0	0	0	1	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Vejle	4	3	3	0	2	1	1	2	4	4	2	3
Mænd	35-39 år	Frederiksberg	Aabenraa	1	2	0	0	2	0	0	1	1	0	0	1
Mænd	35-39 år	Frederiksberg	Favrskov	1	1	0	1	1	0	0	0	0	1	0	0
Mænd	35-39 år	Frederiksberg	Hedensted	0	0	2	0	0	0	1	0	1	0	0	0
Mænd	35-39 år	Frederiksberg	Horsens	1	1	1	0	0	1	2	0	0	0	2	1
Mænd	35-39 år	Frederiksberg	Norddjurs	0	0	0	0	0	0	0	1	0	0	1	1
Mænd	35-39 år	Frederiksberg	Odder	0	2	1	0	1	0	0	1	0	1	1	1
Mænd	35-39 år	Frederiksberg	Randers	3	1	0	0	0	1	0	1	0	1	2	0
Mænd	35-39 år	Frederiksberg	Samsø	0	0	0	0	1	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Silkeborg	0	0	1	0	3	2	0	2	0	1	0	1
Mænd	35-39 år	Frederiksberg	Skanderborg	3	2	0	1	0	1	1	0	1	1	2	0
Mænd	35-39 år	Frederiksberg	Syddjurs	0	1	1	0	0	0	0	0	1	0	1	0
Mænd	35-39 år	Frederiksberg	Aarhus	5	14	7	8	10	9	9	8	8	8	9	10
Mænd	35-39 år	Frederiksberg	Herning	2	1	2	0	0	2	0	0	1	0	0	0
Mænd	35-39 år	Frederiksberg	Holstebro	1	0	1	0	1	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Ikast-Brande	0	0	1	0	1	0	0	0	2	0	0	1
Mænd	35-39 år	Frederiksberg	Lemvig	2	1	0	0	0	1	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Ringkøbing-Skjern	0	0	0	0	0	0	1	0	1	0	0	0
Mænd	35-39 år	Frederiksberg	Skive	1	0	0	0	0	0	0	0	0	0	0	0
Mænd	35-39 år	Frederiksberg	Struer	0	0	0	0	0	0	0	0	0	0	0	1
Mænd	35-39 år	Frederiksberg	Viborg	2	0	0	1	0	2	0	1	2	1	1	0
Mænd	35-39 år	Frederiksberg	Brønderslev	1	0	0	0	0	0	0	0	0	0	0	0
