køn	alder	fraflytningskommune	tilflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	København	Norddjurs	7	6	1	1	2	0	3	0	3	1	2	3
Mænd	0-4 år	København	Odder	2	2	1	1	0	1	2	2	0	1	4	0
Mænd	0-4 år	København	Randers	2	5	8	7	7	7	11	1	10	2	5	2
Mænd	0-4 år	København	Samsø	2	1	0	1	1	0	0	0	1	0	1	2
Mænd	0-4 år	København	Silkeborg	6	17	13	8	9	8	7	5	9	8	9	16
Mænd	0-4 år	København	Skanderborg	7	11	8	5	9	10	11	7	6	8	11	16
Mænd	0-4 år	København	Syddjurs	5	7	3	2	5	5	3	7	4	2	2	3
Mænd	0-4 år	København	Aarhus	26	38	42	42	35	41	39	41	55	48	50	61
Mænd	0-4 år	København	Herning	3	7	7	4	6	6	4	6	7	6	2	2
Mænd	0-4 år	København	Holstebro	7	14	5	3	2	1	2	4	3	1	7	6
Mænd	0-4 år	København	Ikast-Brande	3	2	1	0	1	2	1	1	1	0	4	3
Mænd	0-4 år	København	Lemvig	2	0	1	0	0	1	1	1	0	1	0	2
Mænd	0-4 år	København	Ringkøbing-Skjern	2	2	2	1	8	2	2	2	2	0	1	4
Mænd	0-4 år	København	Skive	1	1	2	1	1	1	2	1	2	1	2	4
Mænd	0-4 år	København	Struer	2	3	0	0	1	1	1	1	2	2	1	0
Mænd	0-4 år	København	Viborg	7	10	6	7	3	6	8	17	7	7	7	9
Mænd	0-4 år	København	Brønderslev	3	1	1	0	2	1	1	0	0	1	1	3
Mænd	0-4 år	København	Frederikshavn	3	7	3	3	5	2	1	5	1	2	2	4
Mænd	0-4 år	København	Hjørring	6	7	5	3	2	9	1	3	1	1	5	3
Mænd	0-4 år	København	Jammerbugt	2	1	2	0	1	1	3	1	0	1	0	2
Mænd	0-4 år	København	Læsø	0	0	0	2	0	0	2	0	0	0	0	0
Mænd	0-4 år	København	Mariagerfjord	2	5	1	1	1	4	1	1	4	5	3	3
Mænd	0-4 år	København	Morsø	0	0	0	0	0	1	0	0	1	2	1	0
Mænd	0-4 år	København	Rebild	2	1	3	0	2	3	1	1	0	2	1	1
Mænd	0-4 år	København	Thisted	2	3	2	3	0	2	0	2	1	5	3	5
Mænd	0-4 år	København	Vesthimmerlands	0	3	0	0	2	4	0	0	2	0	0	2
Mænd	0-4 år	København	Aalborg	19	16	9	12	11	15	22	19	20	18	17	19
Mænd	0-4 år	Frederiksberg	København	133	134	130	131	174	161	195	195	196	177	153	157
Mænd	0-4 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Dragør	3	4	1	2	7	0	4	0	3	3	5	2
Mænd	0-4 år	Frederiksberg	Tårnby	2	10	1	2	5	2	4	6	4	4	11	3
Mænd	0-4 år	Frederiksberg	Albertslund	8	2	9	1	6	6	5	1	2	3	2	0
Mænd	0-4 år	Frederiksberg	Ballerup	10	4	12	5	15	1	3	6	8	8	8	6
Mænd	0-4 år	Frederiksberg	Brøndby	4	1	5	1	4	2	2	6	3	2	0	2
Mænd	0-4 år	Frederiksberg	Gentofte	11	14	22	28	40	40	32	38	37	31	26	42
Mænd	0-4 år	Frederiksberg	Gladsaxe	17	17	18	14	29	23	12	17	14	11	20	10
Mænd	0-4 år	Frederiksberg	Glostrup	1	8	2	2	3	4	2	10	7	5	4	7
Mænd	0-4 år	Frederiksberg	Herlev	2	5	4	2	5	4	4	7	5	8	8	3
Mænd	0-4 år	Frederiksberg	Hvidovre	11	13	11	8	13	14	11	11	17	7	11	16
Mænd	0-4 år	Frederiksberg	Høje-Taastrup	7	13	1	5	2	3	7	1	5	7	3	4
Mænd	0-4 år	Frederiksberg	Ishøj	0	2	1	0	1	2	1	0	4	1	1	0
Mænd	0-4 år	Frederiksberg	Lyngby-Taarbæk	16	18	13	14	24	15	29	21	28	27	17	24
Mænd	0-4 år	Frederiksberg	Rødovre	14	8	8	11	21	12	12	11	17	11	15	17
Mænd	0-4 år	Frederiksberg	Vallensbæk	3	3	8	3	2	8	4	4	2	7	5	3
Mænd	0-4 år	Frederiksberg	Allerød	15	5	8	5	5	5	8	9	11	12	6	4
Mænd	0-4 år	Frederiksberg	Egedal	14	8	10	10	12	3	8	6	6	4	6	6
Mænd	0-4 år	Frederiksberg	Fredensborg	12	10	5	7	6	7	1	3	10	7	7	12
Mænd	0-4 år	Frederiksberg	Frederikssund	9	7	5	3	7	3	3	1	2	3	3	4
Mænd	0-4 år	Frederiksberg	Furesø	17	10	12	11	15	16	22	18	26	17	15	15
Mænd	0-4 år	Frederiksberg	Gribskov	2	2	1	7	0	1	4	0	1	5	1	0
Mænd	0-4 år	Frederiksberg	Halsnæs	4	3	1	0	2	1	0	1	3	6	4	1
Mænd	0-4 år	Frederiksberg	Helsingør	9	12	5	12	7	4	4	5	5	4	6	16
Mænd	0-4 år	Frederiksberg	Hillerød	16	2	7	4	5	3	8	5	7	5	11	9
Mænd	0-4 år	Frederiksberg	Hørsholm	4	6	4	6	2	4	7	8	6	6	5	4
Mænd	0-4 år	Frederiksberg	Rudersdal	14	13	15	24	24	18	13	28	26	14	15	24
