køn	alder	tilflytningskommune	fraflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	København	Norddjurs	0	2	2	2	0	0	0	1	1	0	1	3
Mænd	0-4 år	København	Odder	0	1	0	0	1	0	0	0	0	0	0	0
Mænd	0-4 år	København	Randers	4	1	2	1	2	2	5	0	0	0	2	4
Mænd	0-4 år	København	Samsø	0	0	0	0	0	0	0	0	0	1	0	1
Mænd	0-4 år	København	Silkeborg	1	3	2	4	1	0	4	1	0	3	0	2
Mænd	0-4 år	København	Skanderborg	1	1	0	1	0	1	5	1	0	1	0	1
Mænd	0-4 år	København	Syddjurs	0	0	0	0	0	1	1	1	1	0	0	0
Mænd	0-4 år	København	Aarhus	13	10	29	23	22	23	14	23	23	17	28	15
Mænd	0-4 år	København	Herning	4	0	0	0	7	3	4	2	2	0	3	0
Mænd	0-4 år	København	Holstebro	2	0	1	4	3	2	0	0	3	4	1	1
Mænd	0-4 år	København	Ikast-Brande	1	0	0	0	0	1	1	0	2	0	0	2
Mænd	0-4 år	København	Lemvig	0	0	0	0	0	4	0	1	0	1	0	0
Mænd	0-4 år	København	Ringkøbing-Skjern	2	1	1	3	0	1	0	0	1	1	0	1
Mænd	0-4 år	København	Skive	1	1	0	0	1	4	2	1	4	0	0	2
Mænd	0-4 år	København	Struer	0	4	0	2	0	1	2	0	0	0	0	1
Mænd	0-4 år	København	Viborg	1	5	0	3	3	6	3	2	1	2	2	1
Mænd	0-4 år	København	Brønderslev	0	2	0	1	0	0	0	0	0	1	2	0
Mænd	0-4 år	København	Frederikshavn	0	1	0	0	3	0	2	1	1	2	0	2
Mænd	0-4 år	København	Hjørring	1	0	1	2	0	2	0	1	1	3	2	1
Mænd	0-4 år	København	Jammerbugt	0	1	0	0	0	0	0	1	2	0	2	1
Mænd	0-4 år	København	Læsø	0	0	0	0	1	0	0	2	0	0	0	0
Mænd	0-4 år	København	Mariagerfjord	0	0	1	0	1	0	1	0	0	1	0	1
Mænd	0-4 år	København	Morsø	2	0	1	0	0	1	0	0	0	0	0	0
Mænd	0-4 år	København	Rebild	1	0	0	1	1	0	1	0	1	0	0	0
Mænd	0-4 år	København	Thisted	4	2	3	3	0	1	1	1	0	1	1	0
Mænd	0-4 år	København	Vesthimmerlands	0	0	0	0	0	0	0	1	0	0	0	0
Mænd	0-4 år	København	Aalborg	10	7	9	10	13	12	10	6	5	5	7	6
Mænd	0-4 år	Frederiksberg	København	147	139	142	158	210	165	163	177	136	158	117	141
