køn	alder	tilflytningskommune	fraflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	25-29 år	København	Allerød	11	16	22	13	16	20	24	28	18	19	17	18
Mænd	25-29 år	København	Egedal	27	37	34	25	30	26	34	37	41	32	36	33
Mænd	25-29 år	København	Fredensborg	29	35	26	21	39	22	26	32	42	61	41	52
Mænd	25-29 år	København	Frederikssund	21	28	20	18	24	25	24	42	32	24	34	45
Mænd	25-29 år	København	Furesø	33	40	32	40	29	41	36	35	38	53	70	75
Mænd	25-29 år	København	Gribskov	30	21	21	26	26	25	26	26	28	32	31	33
Mænd	25-29 år	København	Halsnæs	16	16	10	13	19	9	20	22	13	26	14	23
Mænd	25-29 år	København	Helsingør	38	39	48	40	44	40	59	37	60	48	58	76
Mænd	25-29 år	København	Hillerød	37	33	32	36	41	44	38	56	46	79	56	59
Mænd	25-29 år	København	Hørsholm	31	21	25	29	24	23	24	29	26	25	20	32
Mænd	25-29 år	København	Rudersdal	73	69	63	76	76	101	90	92	86	110	92	110
Mænd	25-29 år	København	Bornholm	24	24	26	20	28	27	22	28	26	20	17	22
Mænd	25-29 år	København	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	25-29 år	København	Greve	47	31	31	39	33	27	38	38	46	63	60	69
Mænd	25-29 år	København	Køge	53	43	47	23	43	25	48	55	47	57	66	54
Mænd	25-29 år	København	Lejre	9	13	15	9	7	15	11	23	17	21	22	22
Mænd	25-29 år	København	Roskilde	87	99	96	99	85	116	102	97	113	125	127	134
Mænd	25-29 år	København	Solrød	15	10	11	14	19	12	20	18	21	23	16	30
Mænd	25-29 år	København	Faxe	19	18	18	18	16	21	21	19	19	19	28	20
Mænd	25-29 år	København	Guldborgsund	29	35	31	28	43	42	36	41	34	46	43	49
Mænd	25-29 år	København	Holbæk	42	40	47	35	42	30	35	40	41	46	54	53
Mænd	25-29 år	København	Kalundborg	25	19	19	20	18	15	17	24	17	27	20	20
Mænd	25-29 år	København	Lolland	19	20	15	19	20	22	17	25	18	32	13	22
Mænd	25-29 år	København	Næstved	46	43	64	47	51	58	58	48	64	75	58	48
Mænd	25-29 år	København	Odsherred	12	19	11	10	12	14	12	19	15	20	14	19
Mænd	25-29 år	København	Ringsted	9	23	31	15	23	12	29	21	12	31	28	33
Mænd	25-29 år	København	Slagelse	38	38	39	45	50	48	50	53	52	47	58	58
Mænd	25-29 år	København	Sorø	6	15	8	9	7	5	11	11	15	22	11	16
Mænd	25-29 år	København	Stevns	16	12	10	7	7	10	13	10	17	26	15	19
Mænd	25-29 år	København	Vordingborg	27	26	18	20	21	17	28	29	30	37	31	42
Mænd	25-29 år	København	Assens	4	6	5	9	7	4	6	3	13	11	12	22
Mænd	25-29 år	København	Faaborg-Midtfyn	6	9	8	10	10	8	13	10	5	11	8	14
Mænd	25-29 år	København	Kerteminde	4	2	3	5	3	5	6	3	5	6	10	2
Mænd	25-29 år	København	Langeland	1	5	1	5	2	5	3	4	2	2	0	3
Mænd	25-29 år	København	Middelfart	4	13	7	13	11	3	5	8	7	8	3	9
Mænd	25-29 år	København	Nordfyns	1	3	4	1	4	7	1	5	3	4	3	3
Mænd	25-29 år	København	Nyborg	6	4	6	5	3	7	12	6	9	7	10	8
Mænd	25-29 år	København	Odense	166	152	173	184	165	198	195	198	200	207	174	202
Mænd	25-29 år	København	Svendborg	36	28	25	34	30	33	37	41	19	49	34	29
Mænd	25-29 år	København	Ærø	2	4	5	0	1	6	3	3	2	2	3	2
Mænd	25-29 år	København	Billund	5	4	6	2	3	8	4	8	6	6	8	6
Mænd	25-29 år	København	Esbjerg	43	41	38	28	46	36	42	43	27	42	42	46
Mænd	25-29 år	København	Fanø	2	0	1	2	2	1	2	0	1	0	1	0
Mænd	25-29 år	København	Fredericia	15	19	15	15	17	13	14	14	14	16	10	18
Mænd	25-29 år	København	Haderslev	13	18	14	10	16	14	20	18	19	18	29	26
Mænd	25-29 år	København	Kolding	32	33	27	29	52	40	25	39	41	42	34	43
Mænd	25-29 år	København	Sønderborg	22	17	16	24	15	22	15	23	25	25	20	15
Mænd	25-29 år	København	Tønder	12	8	3	4	8	15	9	3	4	5	2	10
Mænd	25-29 år	København	Varde	9	9	8	10	11	13	8	10	15	13	6	9
Mænd	25-29 år	København	Vejen	9	6	2	4	8	5	5	6	4	9	7	6
Mænd	25-29 år	København	Vejle	31	28	23	22	30	31	33	27	30	28	39	35
Mænd	25-29 år	København	Aabenraa	16	6	12	15	8	13	12	12	16	11	12	9
Mænd	25-29 år	København	Favrskov	6	5	2	11	8	12	2	11	7	5	10	5
Mænd	25-29 år	København	Hedensted	8	3	5	9	4	13	3	6	12	12	5	7
Mænd	25-29 år	København	Horsens	14	21	17	26	19	19	16	17	21	20	25	26
Mænd	25-29 år	København	Norddjurs	7	8	1	3	2	8	6	10	4	6	13	4
Mænd	25-29 år	København	Odder	4	6	3	2	5	3	2	2	5	6	4	4
Mænd	25-29 år	København	Randers	10	11	18	25	10	18	14	20	20	17	23	26
Mænd	25-29 år	København	Samsø	0	1	2	4	0	2	2	0	0	1	1	2
Mænd	25-29 år	København	Silkeborg	20	18	22	23	21	11	25	21	35	18	25	21
Mænd	25-29 år	København	Skanderborg	7	8	4	9	10	6	13	8	9	14	12	17
Mænd	25-29 år	København	Syddjurs	3	4	3	5	5	5	9	10	11	15	5	10
Mænd	25-29 år	København	Aarhus	429	509	409	416	417	546	535	511	470	466	477	452
Mænd	25-29 år	København	Herning	22	24	22	11	30	22	26	21	21	22	32	26
Mænd	25-29 år	København	Holstebro	13	10	13	16	11	22	16	11	13	12	14	9
Mænd	25-29 år	København	Ikast-Brande	7	4	2	4	2	3	8	8	6	9	3	6
Mænd	25-29 år	København	Lemvig	1	3	3	0	1	0	3	2	6	4	3	5
Mænd	25-29 år	København	Ringkøbing-Skjern	9	5	3	9	10	9	8	7	5	8	8	9
Mænd	25-29 år	København	Skive	7	9	9	9	13	3	12	6	11	9	11	5
Mænd	25-29 år	København	Struer	4	2	3	0	2	4	3	2	3	5	4	2
Mænd	25-29 år	København	Viborg	20	23	21	24	15	29	18	21	15	28	23	26
Mænd	25-29 år	København	Brønderslev	3	6	5	2	6	10	2	5	2	7	7	4
Mænd	25-29 år	København	Frederikshavn	11	18	12	11	15	11	11	11	12	11	14	10
Mænd	25-29 år	København	Hjørring	15	9	14	12	9	10	6	13	15	17	15	16
Mænd	25-29 år	København	Jammerbugt	9	5	3	6	4	7	7	5	12	3	4	8
Mænd	25-29 år	København	Læsø	0	0	0	0	0	0	0	1	0	0	1	0
Mænd	25-29 år	København	Mariagerfjord	1	5	5	5	5	7	6	9	7	9	2	9
Mænd	25-29 år	København	Morsø	2	3	1	3	3	5	5	2	5	2	5	2
Mænd	25-29 år	København	Rebild	2	0	6	3	1	6	4	4	4	8	6	6
Mænd	25-29 år	København	Thisted	10	7	6	11	7	4	11	7	7	8	10	10
Mænd	25-29 år	København	Vesthimmerlands	8	5	6	6	4	3	3	2	2	2	9	3
Mænd	25-29 år	København	Aalborg	152	135	111	124	147	168	148	156	176	179	184	167
Mænd	25-29 år	Frederiksberg	København	747	787	836	716	807	810	839	906	913	955	824	892
Mænd	25-29 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	25-29 år	Frederiksberg	Dragør	1	1	3	0	0	0	0	0	1	3	1	1
Mænd	25-29 år	Frederiksberg	Tårnby	2	6	1	5	5	12	6	7	6	8	5	5
Mænd	25-29 år	Frederiksberg	Albertslund	10	12	5	4	3	7	7	7	1	5	2	5
Mænd	25-29 år	Frederiksberg	Ballerup	6	10	7	8	5	12	5	10	5	9	5	8
Mænd	25-29 år	Frederiksberg	Brøndby	3	6	7	9	5	6	3	4	7	3	10	9
Mænd	25-29 år	Frederiksberg	Gentofte	29	22	16	18	30	26	17	26	31	27	23	17
Mænd	25-29 år	Frederiksberg	Gladsaxe	24	19	16	17	16	21	17	28	22	22	27	29
Mænd	25-29 år	Frederiksberg	Glostrup	8	9	6	4	2	3	3	1	7	4	4	2
Mænd	25-29 år	Frederiksberg	Herlev	8	2	3	3	9	7	9	8	9	5	8	5
Mænd	25-29 år	Frederiksberg	Hvidovre	11	16	14	12	12	18	10	17	17	16	18	15
Mænd	25-29 år	Frederiksberg	Høje-Taastrup	2	7	5	5	9	8	8	5	3	6	3	9
Mænd	25-29 år	Frederiksberg	Ishøj	5	5	4	2	7	3	2	2	1	2	1	1
Mænd	25-29 år	Frederiksberg	Lyngby-Taarbæk	20	12	19	22	29	18	27	18	24	18	14	23
Mænd	25-29 år	Frederiksberg	Rødovre	7	4	14	9	10	10	12	12	14	15	18	10
Mænd	25-29 år	Frederiksberg	Vallensbæk	4	3	2	1	3	2	2	2	2	4	6	1
Mænd	25-29 år	Frederiksberg	Allerød	1	3	1	1	2	3	3	6	5	4	4	0
Mænd	25-29 år	Frederiksberg	Egedal	2	1	3	11	3	3	3	5	4	4	6	5
Mænd	25-29 år	Frederiksberg	Fredensborg	5	1	4	1	3	2	3	5	6	6	6	9
Mænd	25-29 år	Frederiksberg	Frederikssund	2	1	4	3	3	3	4	5	10	5	2	4
Mænd	25-29 år	Frederiksberg	Furesø	4	8	5	9	6	6	4	5	4	4	9	4
Mænd	25-29 år	Frederiksberg	Gribskov	2	1	2	2	2	5	3	1	2	7	0	2
Mænd	25-29 år	Frederiksberg	Halsnæs	4	2	3	4	3	2	3	1	3	0	2	3
Mænd	25-29 år	Frederiksberg	Helsingør	5	4	4	5	6	2	6	9	8	14	5	4
Mænd	25-29 år	Frederiksberg	Hillerød	5	6	4	1	7	6	6	5	8	0	4	9
Mænd	25-29 år	Frederiksberg	Hørsholm	1	2	6	3	4	3	6	6	2	2	3	7
Mænd	25-29 år	Frederiksberg	Rudersdal	10	7	13	6	14	13	10	12	9	9	12	14
Mænd	25-29 år	Frederiksberg	Bornholm	3	2	1	2	4	4	2	1	0	2	1	3
Mænd	25-29 år	Frederiksberg	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	25-29 år	Frederiksberg	Greve	2	8	4	1	7	2	5	6	8	8	5	5
Mænd	25-29 år	Frederiksberg	Køge	5	5	4	4	9	9	9	5	6	7	7	5
Mænd	25-29 år	Frederiksberg	Lejre	2	2	0	1	5	0	5	2	1	4	0	0
Mænd	25-29 år	Frederiksberg	Roskilde	12	15	16	12	8	18	13	13	13	17	19	19
Mænd	25-29 år	Frederiksberg	Solrød	1	0	1	1	2	1	0	2	6	3	1	5
Mænd	25-29 år	Frederiksberg	Faxe	2	6	3	1	3	3	2	2	1	4	1	3
Mænd	25-29 år	Frederiksberg	Guldborgsund	5	2	3	4	7	4	6	2	5	5	3	2
Mænd	25-29 år	Frederiksberg	Holbæk	6	2	6	5	3	6	5	4	5	4	4	7
Mænd	25-29 år	Frederiksberg	Kalundborg	2	3	3	1	1	2	3	2	2	5	0	2
Mænd	25-29 år	Frederiksberg	Lolland	5	3	1	4	0	2	2	6	1	1	1	1
Mænd	25-29 år	Frederiksberg	Næstved	5	5	11	4	8	7	2	7	3	3	9	9
Mænd	25-29 år	Frederiksberg	Odsherred	3	3	3	2	2	1	3	1	0	2	1	2
Mænd	25-29 år	Frederiksberg	Ringsted	1	4	2	2	1	2	2	2	3	1	2	4
Mænd	25-29 år	Frederiksberg	Slagelse	7	8	9	10	10	5	7	9	4	5	9	3
Mænd	25-29 år	Frederiksberg	Sorø	1	1	2	1	0	3	5	1	2	2	2	5
Mænd	25-29 år	Frederiksberg	Stevns	3	0	2	2	2	3	3	1	1	2	2	0
Mænd	25-29 år	Frederiksberg	Vordingborg	1	0	3	1	3	4	5	2	1	4	1	5
Mænd	25-29 år	Frederiksberg	Assens	1	1	0	0	0	0	0	0	1	0	1	1
Mænd	25-29 år	Frederiksberg	Faaborg-Midtfyn	1	0	0	0	2	2	0	0	1	4	0	2
Mænd	25-29 år	Frederiksberg	Kerteminde	2	0	0	0	0	0	0	1	1	0	1	0
Mænd	25-29 år	Frederiksberg	Langeland	0	0	0	2	2	0	0	0	1	0	0	0
Mænd	25-29 år	Frederiksberg	Middelfart	2	0	1	2	1	1	1	0	0	0	2	0
Mænd	25-29 år	Frederiksberg	Nordfyns	0	2	1	1	1	1	0	0	1	0	1	1
Mænd	25-29 år	Frederiksberg	Nyborg	3	0	2	2	1	0	1	1	0	0	2	1
Mænd	25-29 år	Frederiksberg	Odense	22	21	26	24	22	31	30	27	20	21	29	26
Mænd	25-29 år	Frederiksberg	Svendborg	5	3	2	3	4	7	2	2	1	7	1	2
Mænd	25-29 år	Frederiksberg	Ærø	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	25-29 år	Frederiksberg	Billund	1	1	0	1	1	0	1	1	0	0	0	1
Mænd	25-29 år	Frederiksberg	Esbjerg	5	3	7	4	7	2	3	7	3	1	5	2
Mænd	25-29 år	Frederiksberg	Fanø	0	0	0	0	0	0	1	0	0	0	0	0
Mænd	25-29 år	Frederiksberg	Fredericia	1	1	1	1	2	1	4	4	4	1	1	0
Mænd	25-29 år	Frederiksberg	Haderslev	2	2	2	2	3	2	2	2	2	2	1	2
Mænd	25-29 år	Frederiksberg	Kolding	6	3	3	7	7	4	3	4	4	0	3	3
Mænd	25-29 år	Frederiksberg	Sønderborg	2	1	0	1	1	1	2	0	2	2	2	1
Mænd	25-29 år	Frederiksberg	Tønder	1	0	0	2	1	1	0	2	1	0	2	0
Mænd	25-29 år	Frederiksberg	Varde	4	0	2	0	3	2	1	1	2	3	3	1
Mænd	25-29 år	Frederiksberg	Vejen	0	0	0	1	4	0	0	0	0	2	1	1
Mænd	25-29 år	Frederiksberg	Vejle	4	2	6	4	6	4	3	3	2	5	2	2
Mænd	25-29 år	Frederiksberg	Aabenraa	1	1	2	1	0	1	3	3	2	0	2	2
Mænd	25-29 år	Frederiksberg	Favrskov	3	0	1	2	0	1	2	1	1	0	2	2
Mænd	25-29 år	Frederiksberg	Hedensted	1	1	0	2	0	1	0	1	0	1	0	0
Mænd	25-29 år	Frederiksberg	Horsens	5	0	5	1	4	0	3	1	0	3	2	4
Mænd	25-29 år	Frederiksberg	Norddjurs	1	0	1	0	0	1	1	0	1	1	0	1
Mænd	25-29 år	Frederiksberg	Odder	2	0	1	0	2	0	0	0	1	0	1	1
Mænd	25-29 år	Frederiksberg	Randers	1	1	1	1	3	5	1	1	1	3	2	1
Mænd	25-29 år	Frederiksberg	Samsø	0	0	0	0	1	0	1	0	0	0	0	1
Mænd	25-29 år	Frederiksberg	Silkeborg	3	2	4	0	3	5	3	3	1	1	4	3
Mænd	25-29 år	Frederiksberg	Skanderborg	2	2	0	1	1	2	0	1	2	1	2	2
Mænd	25-29 år	Frederiksberg	Syddjurs	2	3	1	1	1	2	0	1	2	0	0	1
Mænd	25-29 år	Frederiksberg	Aarhus	77	86	66	70	75	70	76	67	71	66	83	63
Mænd	25-29 år	Frederiksberg	Herning	4	4	5	4	4	1	4	3	4	5	2	0
Mænd	25-29 år	Frederiksberg	Holstebro	0	1	6	2	2	5	0	1	2	1	1	4
Mænd	25-29 år	Frederiksberg	Ikast-Brande	0	0	1	0	0	1	1	1	1	0	0	0
Mænd	25-29 år	Frederiksberg	Lemvig	1	0	1	0	2	0	1	0	0	2	2	1
Mænd	25-29 år	Frederiksberg	Ringkøbing-Skjern	4	1	1	1	1	0	1	3	0	2	1	1
Mænd	25-29 år	Frederiksberg	Skive	0	1	0	1	0	1	2	2	1	1	0	0
Mænd	25-29 år	Frederiksberg	Struer	1	0	0	0	0	1	1	1	0	0	0	0
Mænd	25-29 år	Frederiksberg	Viborg	0	2	2	0	3	3	0	4	2	2	4	3
Mænd	25-29 år	Frederiksberg	Brønderslev	0	1	0	1	1	1	1	0	0	0	0	0
Mænd	25-29 år	Frederiksberg	Frederikshavn	2	1	0	0	2	2	2	2	1	2	0	0
Mænd	25-29 år	Frederiksberg	Hjørring	1	2	4	0	4	0	1	0	0	1	0	1
Mænd	25-29 år	Frederiksberg	Jammerbugt	0	2	1	0	1	1	1	1	1	0	0	2
Mænd	25-29 år	Frederiksberg	Læsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	25-29 år	Frederiksberg	Mariagerfjord	1	2	2	1	0	0	1	1	1	0	0	1
Mænd	25-29 år	Frederiksberg	Morsø	0	1	0	0	0	0	0	1	1	0	1	0
Mænd	25-29 år	Frederiksberg	Rebild	0	0	2	0	1	0	0	0	1	0	2	1
Mænd	25-29 år	Frederiksberg	Thisted	0	0	0	1	0	0	1	1	2	0	1	0
Mænd	25-29 år	Frederiksberg	Vesthimmerlands	0	0	0	0	0	0	2	0	1	0	0	0
Mænd	25-29 år	Frederiksberg	Aalborg	23	20	20	19	21	31	25	19	17	24	24	11
Mænd	30-34 år	København	København	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	København	Frederiksberg	519	566	501	467	505	516	481	532	559	559	534	563
Mænd	30-34 år	København	Dragør	11	13	18	16	12	14	9	6	10	11	13	19
Mænd	30-34 år	København	Tårnby	69	61	64	42	53	46	45	58	76	71	59	76
Mænd	30-34 år	København	Albertslund	29	20	24	27	35	31	30	41	28	23	27	28
Mænd	30-34 år	København	Ballerup	30	23	24	29	25	28	35	28	33	25	32	45
Mænd	30-34 år	København	Brøndby	12	26	33	25	27	36	25	34	44	42	45	40
Mænd	30-34 år	København	Gentofte	118	110	100	91	101	103	99	115	119	134	128	158
Mænd	30-34 år	København	Gladsaxe	63	80	80	75	84	95	87	89	107	99	119	134
Mænd	30-34 år	København	Glostrup	17	21	21	18	16	28	21	27	42	31	42	29
Mænd	30-34 år	København	Herlev	21	17	26	16	18	25	23	25	22	27	23	21
Mænd	30-34 år	København	Hvidovre	73	53	71	59	51	69	89	73	105	98	81	75
Mænd	30-34 år	København	Høje-Taastrup	35	44	41	46	57	42	36	54	46	46	72	62
Mænd	30-34 år	København	Ishøj	27	14	21	21	10	16	13	17	21	27	19	17
Mænd	30-34 år	København	Lyngby-Taarbæk	50	56	55	52	51	62	59	71	58	58	54	75
Mænd	30-34 år	København	Rødovre	45	58	56	40	47	45	46	53	68	84	57	76
Mænd	30-34 år	København	Vallensbæk	4	8	10	12	18	11	14	19	13	20	18	14
Mænd	30-34 år	København	Allerød	11	6	13	6	14	5	11	10	8	14	4	18
Mænd	30-34 år	København	Egedal	26	25	16	18	16	17	9	16	21	17	13	19
Mænd	30-34 år	København	Fredensborg	19	24	27	18	15	17	33	19	25	21	34	18
Mænd	30-34 år	København	Frederikssund	19	12	13	16	14	22	12	17	20	16	9	15
Mænd	30-34 år	København	Furesø	25	20	29	25	23	17	32	21	25	18	38	34
Mænd	30-34 år	København	Gribskov	10	19	12	11	18	16	13	14	17	18	20	23
Mænd	30-34 år	København	Halsnæs	8	8	8	10	5	12	8	14	10	15	8	11
Mænd	30-34 år	København	Helsingør	30	28	38	31	20	19	27	27	22	34	26	44
Mænd	30-34 år	København	Hillerød	27	20	14	21	17	26	20	17	22	22	32	39
Mænd	30-34 år	København	Hørsholm	13	10	14	12	12	19	12	10	15	8	14	14
Mænd	30-34 år	København	Rudersdal	41	37	35	36	35	34	38	35	43	41	35	35
Mænd	30-34 år	København	Bornholm	13	8	11	12	10	13	12	12	11	12	17	9
Mænd	30-34 år	København	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	København	Greve	26	31	24	31	24	9	26	20	26	25	28	23
Mænd	30-34 år	København	Køge	27	23	17	20	19	18	17	23	26	19	30	18
Mænd	30-34 år	København	Lejre	6	11	9	7	9	7	8	8	12	7	10	9
Mænd	30-34 år	København	Roskilde	59	48	44	45	38	52	40	51	43	40	49	63
Mænd	30-34 år	København	Solrød	13	10	9	7	11	4	12	7	8	8	9	9
Mænd	30-34 år	København	Faxe	12	10	9	7	8	8	10	12	8	9	15	8
Mænd	30-34 år	København	Guldborgsund	19	15	23	20	10	19	20	13	20	25	23	14
Mænd	30-34 år	København	Holbæk	34	29	12	25	27	23	25	20	21	27	20	16
Mænd	30-34 år	København	Kalundborg	8	14	18	11	9	9	10	9	12	11	10	14
Mænd	30-34 år	København	Lolland	14	17	14	18	12	16	6	3	5	13	8	10
Mænd	30-34 år	København	Næstved	17	25	26	21	26	16	26	16	25	29	25	23
Mænd	30-34 år	København	Odsherred	13	8	10	7	12	7	14	10	7	9	5	9
Mænd	30-34 år	København	Ringsted	6	8	15	13	11	14	6	15	8	11	9	15
Mænd	30-34 år	København	Slagelse	18	26	25	26	36	26	22	26	21	26	36	40
Mænd	30-34 år	København	Sorø	9	9	8	9	8	13	6	6	12	8	10	6
Mænd	30-34 år	København	Stevns	12	9	6	4	5	10	3	7	10	8	9	9
Mænd	30-34 år	København	Vordingborg	15	10	12	17	13	19	14	11	13	13	21	8
Mænd	30-34 år	København	Assens	4	1	5	5	1	1	1	3	0	4	3	3
Mænd	30-34 år	København	Faaborg-Midtfyn	3	3	4	0	3	3	5	5	3	6	5	3
Mænd	30-34 år	København	Kerteminde	1	1	1	1	0	2	3	0	4	1	2	2
Mænd	30-34 år	København	Langeland	1	2	3	0	1	0	1	4	2	0	1	1
Mænd	30-34 år	København	Middelfart	2	1	7	5	7	1	4	3	4	4	4	3
Mænd	30-34 år	København	Nordfyns	0	4	5	1	0	0	2	1	1	3	0	3
Mænd	30-34 år	København	Nyborg	3	7	2	3	6	5	5	4	1	5	2	2
Mænd	30-34 år	København	Odense	66	62	60	64	62	64	67	52	72	61	58	72
Mænd	30-34 år	København	Svendborg	18	24	12	15	18	21	13	13	8	10	4	15
Mænd	30-34 år	København	Ærø	1	3	2	0	0	3	2	1	2	3	1	5
Mænd	30-34 år	København	Billund	3	0	1	3	2	5	0	1	1	0	3	2
Mænd	30-34 år	København	Esbjerg	27	17	21	18	14	12	17	17	22	13	19	19
Mænd	30-34 år	København	Fanø	0	0	0	3	1	1	0	1	0	0	0	0
Mænd	30-34 år	København	Fredericia	9	6	5	6	7	3	9	4	13	8	6	4
Mænd	30-34 år	København	Haderslev	5	3	5	7	4	8	7	9	6	6	3	8
Mænd	30-34 år	København	Kolding	14	14	20	10	12	14	20	10	23	16	15	21
Mænd	30-34 år	København	Sønderborg	10	12	7	12	5	17	10	6	11	10	10	5
Mænd	30-34 år	København	Tønder	6	1	3	1	5	5	3	2	5	2	7	3
Mænd	30-34 år	København	Varde	6	3	2	4	4	4	4	3	4	4	8	7
Mænd	30-34 år	København	Vejen	0	1	2	2	5	1	5	0	3	3	1	2
Mænd	30-34 år	København	Vejle	13	11	15	12	13	8	11	15	11	17	15	10
Mænd	30-34 år	København	Aabenraa	3	5	5	1	4	5	2	5	3	8	10	6
Mænd	30-34 år	København	Favrskov	3	1	2	1	2	4	3	1	1	2	2	2
Mænd	30-34 år	København	Hedensted	3	5	2	2	2	3	2	1	1	2	2	4
Mænd	30-34 år	København	Horsens	6	7	10	9	10	4	9	8	8	3	6	6
Mænd	30-34 år	København	Norddjurs	2	1	1	2	2	2	3	3	1	6	1	3
Mænd	30-34 år	København	Odder	4	1	2	1	1	2	1	0	2	1	1	2
Mænd	30-34 år	København	Randers	7	6	4	8	2	6	12	5	11	8	12	8
Mænd	30-34 år	København	Samsø	1	0	1	0	0	0	1	1	0	2	2	0
Mænd	30-34 år	København	Silkeborg	12	7	12	9	12	12	11	7	9	7	6	7
Mænd	30-34 år	København	Skanderborg	1	3	6	3	5	3	4	4	2	5	3	5
Mænd	30-34 år	København	Syddjurs	3	5	5	6	5	4	1	5	3	3	3	4
Mænd	30-34 år	København	Aarhus	167	149	153	136	160	161	155	156	136	159	137	121
Mænd	30-34 år	København	Herning	8	6	4	11	9	7	8	10	6	10	8	9
Mænd	30-34 år	København	Holstebro	5	2	9	0	8	10	8	6	4	12	4	6
Mænd	30-34 år	København	Ikast-Brande	4	4	1	5	2	4	1	2	4	2	3	1
Mænd	30-34 år	København	Lemvig	3	1	2	2	1	0	1	0	0	2	1	1
Mænd	30-34 år	København	Ringkøbing-Skjern	7	3	4	1	2	6	6	4	2	2	2	4
Mænd	30-34 år	København	Skive	2	2	2	5	5	2	1	1	2	4	2	3
Mænd	30-34 år	København	Struer	2	5	3	3	4	0	2	2	2	5	3	2
Mænd	30-34 år	København	Viborg	4	6	7	11	11	13	7	7	12	7	8	8
Mænd	30-34 år	København	Brønderslev	3	3	2	3	1	1	0	2	4	3	0	2
Mænd	30-34 år	København	Frederikshavn	6	5	8	8	3	9	3	7	5	1	6	4
Mænd	30-34 år	København	Hjørring	4	5	2	3	5	4	10	2	3	6	1	5
Mænd	30-34 år	København	Jammerbugt	3	1	2	2	0	3	0	2	0	5	1	2
Mænd	30-34 år	København	Læsø	0	0	0	1	0	1	0	1	2	0	1	0
Mænd	30-34 år	København	Mariagerfjord	1	3	5	5	3	3	1	3	3	3	1	6
Mænd	30-34 år	København	Morsø	3	1	0	1	1	1	4	3	1	2	1	1
Mænd	30-34 år	København	Rebild	2	3	2	2	5	1	1	1	1	1	3	1
Mænd	30-34 år	København	Thisted	6	4	2	2	3	3	3	3	5	2	6	3
Mænd	30-34 år	København	Vesthimmerlands	3	2	1	0	3	1	4	2	0	1	0	0
Mænd	30-34 år	København	Aalborg	52	56	57	59	42	44	48	43	54	51	42	53
Mænd	30-34 år	Frederiksberg	København	602	603	577	560	627	610	549	593	571	581	499	537
Mænd	30-34 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	30-34 år	Frederiksberg	Dragør	0	0	2	1	1	0	1	0	1	2	1	2
Mænd	30-34 år	Frederiksberg	Tårnby	4	3	7	6	3	5	4	6	5	2	4	4
Mænd	30-34 år	Frederiksberg	Albertslund	6	2	3	4	4	2	2	2	4	2	0	2
Mænd	30-34 år	Frederiksberg	Ballerup	3	2	3	1	8	0	3	3	5	3	4	7
Mænd	30-34 år	Frederiksberg	Brøndby	4	1	8	4	3	2	9	1	3	2	2	5
Mænd	30-34 år	Frederiksberg	Gentofte	26	13	18	12	26	16	11	15	20	16	14	14
Mænd	30-34 år	Frederiksberg	Gladsaxe	14	11	11	6	15	5	11	11	10	11	12	18
Mænd	30-34 år	Frederiksberg	Glostrup	2	2	4	5	4	3	3	5	4	3	3	5
Mænd	30-34 år	Frederiksberg	Herlev	4	4	2	3	2	1	2	7	6	3	3	2
Mænd	30-34 år	Frederiksberg	Hvidovre	6	5	9	8	9	12	7	10	10	9	13	3
Mænd	30-34 år	Frederiksberg	Høje-Taastrup	3	6	4	6	9	1	5	8	4	4	3	0
Mænd	30-34 år	Frederiksberg	Ishøj	4	0	1	1	1	3	1	0	0	3	0	1
Mænd	30-34 år	Frederiksberg	Lyngby-Taarbæk	15	12	10	8	7	5	11	8	6	13	7	9
Mænd	30-34 år	Frederiksberg	Rødovre	7	7	7	9	8	3	4	7	6	5	5	12
Mænd	30-34 år	Frederiksberg	Vallensbæk	1	2	1	3	2	3	1	1	3	1	1	1
Mænd	30-34 år	Frederiksberg	Allerød	4	0	2	1	0	0	1	1	0	0	1	2
Mænd	30-34 år	Frederiksberg	Egedal	3	4	3	3	3	1	0	3	1	3	0	0
Mænd	30-34 år	Frederiksberg	Fredensborg	1	3	1	7	3	0	1	2	2	1	4	6
Mænd	30-34 år	Frederiksberg	Frederikssund	2	4	4	1	2	2	1	3	5	3	2	1
Mænd	30-34 år	Frederiksberg	Furesø	3	4	3	2	5	1	1	3	3	3	6	3
Mænd	30-34 år	Frederiksberg	Gribskov	1	1	2	4	3	0	2	2	1	3	4	1
Mænd	30-34 år	Frederiksberg	Halsnæs	0	0	4	5	3	3	0	1	0	2	1	2
Mænd	30-34 år	Frederiksberg	Helsingør	5	4	4	4	6	3	3	6	2	3	6	2
