køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,København,Furesø,2013,84
Mænd,0-4 år,København,Furesø,2014,82
Mænd,0-4 år,København,Furesø,2015,74
Mænd,0-4 år,København,Furesø,2016,64
Mænd,0-4 år,København,Furesø,2017,77
Mænd,0-4 år,København,Gribskov,2006,25
Mænd,0-4 år,København,Gribskov,2007,19
Mænd,0-4 år,København,Gribskov,2008,16
Mænd,0-4 år,København,Gribskov,2009,18
Mænd,0-4 år,København,Gribskov,2010,13
Mænd,0-4 år,København,Gribskov,2011,15
Mænd,0-4 år,København,Gribskov,2012,18
Mænd,0-4 år,København,Gribskov,2013,10
Mænd,0-4 år,København,Gribskov,2014,18
Mænd,0-4 år,København,Gribskov,2015,19
Mænd,0-4 år,København,Gribskov,2016,27
Mænd,0-4 år,København,Gribskov,2017,25
Mænd,0-4 år,København,Halsnæs,2006,20
Mænd,0-4 år,København,Halsnæs,2007,19
Mænd,0-4 år,København,Halsnæs,2008,9
Mænd,0-4 år,København,Halsnæs,2009,9
Mænd,0-4 år,København,Halsnæs,2010,9
Mænd,0-4 år,København,Halsnæs,2011,10
Mænd,0-4 år,København,Halsnæs,2012,16
Mænd,0-4 år,København,Halsnæs,2013,8
Mænd,0-4 år,København,Halsnæs,2014,4
Mænd,0-4 år,København,Halsnæs,2015,7
Mænd,0-4 år,København,Halsnæs,2016,13
Mænd,0-4 år,København,Halsnæs,2017,9
Mænd,0-4 år,København,Helsingør,2006,53
Mænd,0-4 år,København,Helsingør,2007,43
Mænd,0-4 år,København,Helsingør,2008,46
Mænd,0-4 år,København,Helsingør,2009,44
Mænd,0-4 år,København,Helsingør,2010,32
Mænd,0-4 år,København,Helsingør,2011,38
Mænd,0-4 år,København,Helsingør,2012,47
Mænd,0-4 år,København,Helsingør,2013,47
Mænd,0-4 år,København,Helsingør,2014,36
Mænd,0-4 år,København,Helsingør,2015,50
Mænd,0-4 år,København,Helsingør,2016,43
Mænd,0-4 år,København,Helsingør,2017,49
Mænd,0-4 år,København,Hillerød,2006,26
Mænd,0-4 år,København,Hillerød,2007,34
Mænd,0-4 år,København,Hillerød,2008,31
Mænd,0-4 år,København,Hillerød,2009,28
Mænd,0-4 år,København,Hillerød,2010,36
Mænd,0-4 år,København,Hillerød,2011,30
Mænd,0-4 år,København,Hillerød,2012,23
Mænd,0-4 år,København,Hillerød,2013,41
Mænd,0-4 år,København,Hillerød,2014,40
Mænd,0-4 år,København,Hillerød,2015,52
Mænd,0-4 år,København,Hillerød,2016,33
Mænd,0-4 år,København,Hillerød,2017,45
Mænd,0-4 år,København,Hørsholm,2006,15
Mænd,0-4 år,København,Hørsholm,2007,14
Mænd,0-4 år,København,Hørsholm,2008,20
Mænd,0-4 år,København,Hørsholm,2009,17
Mænd,0-4 år,København,Hørsholm,2010,19
Mænd,0-4 år,København,Hørsholm,2011,22
Mænd,0-4 år,København,Hørsholm,2012,32
Mænd,0-4 år,København,Hørsholm,2013,29
Mænd,0-4 år,København,Hørsholm,2014,34
Mænd,0-4 år,København,Hørsholm,2015,21
Mænd,0-4 år,København,Hørsholm,2016,26
Mænd,0-4 år,København,Hørsholm,2017,24
Mænd,0-4 år,København,Rudersdal,2006,44
Mænd,0-4 år,København,Rudersdal,2007,39
Mænd,0-4 år,København,Rudersdal,2008,62
Mænd,0-4 år,København,Rudersdal,2009,61
Mænd,0-4 år,København,Rudersdal,2010,101
Mænd,0-4 år,København,Rudersdal,2011,67
Mænd,0-4 år,København,Rudersdal,2012,83
Mænd,0-4 år,København,Rudersdal,2013,87
Mænd,0-4 år,København,Rudersdal,2014,77
Mænd,0-4 år,København,Rudersdal,2015,80
Mænd,0-4 år,København,Rudersdal,2016,75
Mænd,0-4 år,København,Rudersdal,2017,81
Mænd,0-4 år,København,Bornholm,2006,17
Mænd,0-4 år,København,Bornholm,2007,30
Mænd,0-4 år,København,Bornholm,2008,18
Mænd,0-4 år,København,Bornholm,2009,8
Mænd,0-4 år,København,Bornholm,2010,9
Mænd,0-4 år,København,Bornholm,2011,16
Mænd,0-4 år,København,Bornholm,2012,10
Mænd,0-4 år,København,Bornholm,2013,12
Mænd,0-4 år,København,Bornholm,2014,17
Mænd,0-4 år,København,Bornholm,2015,24
Mænd,0-4 år,København,Bornholm,2016,28
Mænd,0-4 år,København,Bornholm,2017,33
Mænd,0-4 år,København,Christiansø,2006,0
Mænd,0-4 år,København,Christiansø,2007,1
Mænd,0-4 år,København,Christiansø,2008,0
Mænd,0-4 år,København,Christiansø,2009,1
Mænd,0-4 år,København,Christiansø,2010,0
Mænd,0-4 år,København,Christiansø,2011,0
Mænd,0-4 år,København,Christiansø,2012,0
Mænd,0-4 år,København,Christiansø,2013,0
Mænd,0-4 år,København,Christiansø,2014,0
Mænd,0-4 år,København,Christiansø,2015,0
Mænd,0-4 år,København,Christiansø,2016,2
Mænd,0-4 år,København,Christiansø,2017,0
Mænd,0-4 år,København,Greve,2006,26
Mænd,0-4 år,København,Greve,2007,32
Mænd,0-4 år,København,Greve,2008,33
Mænd,0-4 år,København,Greve,2009,29
Mænd,0-4 år,København,Greve,2010,38
Mænd,0-4 år,København,Greve,2011,36
Mænd,0-4 år,København,Greve,2012,32
Mænd,0-4 år,København,Greve,2013,25
Mænd,0-4 år,København,Greve,2014,49
Mænd,0-4 år,København,Greve,2015,59
Mænd,0-4 år,København,Greve,2016,68
Mænd,0-4 år,København,Greve,2017,52
Mænd,0-4 år,København,Køge,2006,38
Mænd,0-4 år,København,Køge,2007,33
Mænd,0-4 år,København,Køge,2008,44
Mænd,0-4 år,København,Køge,2009,16
Mænd,0-4 år,København,Køge,2010,23
Mænd,0-4 år,København,Køge,2011,15
Mænd,0-4 år,København,Køge,2012,30
Mænd,0-4 år,København,Køge,2013,27
Mænd,0-4 år,København,Køge,2014,27
Mænd,0-4 år,København,Køge,2015,37
Mænd,0-4 år,København,Køge,2016,41
Mænd,0-4 år,København,Køge,2017,45
Mænd,0-4 år,København,Lejre,2006,22
Mænd,0-4 år,København,Lejre,2007,14
Mænd,0-4 år,København,Lejre,2008,11
Mænd,0-4 år,København,Lejre,2009,13
Mænd,0-4 år,København,Lejre,2010,17
Mænd,0-4 år,København,Lejre,2011,17
Mænd,0-4 år,København,Lejre,2012,17
Mænd,0-4 år,København,Lejre,2013,19
Mænd,0-4 år,København,Lejre,2014,23
Mænd,0-4 år,København,Lejre,2015,22
Mænd,0-4 år,København,Lejre,2016,25
Mænd,0-4 år,København,Lejre,2017,30
Mænd,0-4 år,København,Roskilde,2006,57
Mænd,0-4 år,København,Roskilde,2007,43
Mænd,0-4 år,København,Roskilde,2008,82
Mænd,0-4 år,København,Roskilde,2009,49
Mænd,0-4 år,København,Roskilde,2010,54
Mænd,0-4 år,København,Roskilde,2011,52
Mænd,0-4 år,København,Roskilde,2012,64
Mænd,0-4 år,København,Roskilde,2013,71
Mænd,0-4 år,København,Roskilde,2014,69
Mænd,0-4 år,København,Roskilde,2015,90
Mænd,0-4 år,København,Roskilde,2016,111
Mænd,0-4 år,København,Roskilde,2017,74
Mænd,0-4 år,København,Solrød,2006,23
Mænd,0-4 år,København,Solrød,2007,12
Mænd,0-4 år,København,Solrød,2008,7
Mænd,0-4 år,København,Solrød,2009,13
Mænd,0-4 år,København,Solrød,2010,17
Mænd,0-4 år,København,Solrød,2011,16
Mænd,0-4 år,København,Solrød,2012,15
Mænd,0-4 år,København,Solrød,2013,27
Mænd,0-4 år,København,Solrød,2014,27
Mænd,0-4 år,København,Solrød,2015,28
Mænd,0-4 år,København,Solrød,2016,35
Mænd,0-4 år,København,Solrød,2017,25
Mænd,0-4 år,København,Faxe,2006,30
Mænd,0-4 år,København,Faxe,2007,15
Mænd,0-4 år,København,Faxe,2008,11
Mænd,0-4 år,København,Faxe,2009,9
Mænd,0-4 år,København,Faxe,2010,11
Mænd,0-4 år,København,Faxe,2011,16
Mænd,0-4 år,København,Faxe,2012,14
Mænd,0-4 år,København,Faxe,2013,5
Mænd,0-4 år,København,Faxe,2014,10
Mænd,0-4 år,København,Faxe,2015,19
Mænd,0-4 år,København,Faxe,2016,10
Mænd,0-4 år,København,Faxe,2017,5
Mænd,0-4 år,København,Guldborgsund,2006,11
Mænd,0-4 år,København,Guldborgsund,2007,17
Mænd,0-4 år,København,Guldborgsund,2008,15
Mænd,0-4 år,København,Guldborgsund,2009,7
Mænd,0-4 år,København,Guldborgsund,2010,16
Mænd,0-4 år,København,Guldborgsund,2011,9
Mænd,0-4 år,København,Guldborgsund,2012,5
Mænd,0-4 år,København,Guldborgsund,2013,6
Mænd,0-4 år,København,Guldborgsund,2014,5
Mænd,0-4 år,København,Guldborgsund,2015,13
Mænd,0-4 år,København,Guldborgsund,2016,25
Mænd,0-4 år,København,Guldborgsund,2017,12
Mænd,0-4 år,København,Holbæk,2006,59
Mænd,0-4 år,København,Holbæk,2007,57
Mænd,0-4 år,København,Holbæk,2008,27
Mænd,0-4 år,København,Holbæk,2009,22
Mænd,0-4 år,København,Holbæk,2010,24
Mænd,0-4 år,København,Holbæk,2011,21
Mænd,0-4 år,København,Holbæk,2012,22
Mænd,0-4 år,København,Holbæk,2013,18
Mænd,0-4 år,København,Holbæk,2014,20
Mænd,0-4 år,København,Holbæk,2015,28
Mænd,0-4 år,København,Holbæk,2016,28
Mænd,0-4 år,København,Holbæk,2017,26
Mænd,0-4 år,København,Kalundborg,2006,17
Mænd,0-4 år,København,Kalundborg,2007,20
Mænd,0-4 år,København,Kalundborg,2008,7
Mænd,0-4 år,København,Kalundborg,2009,7
Mænd,0-4 år,København,Kalundborg,2010,1
Mænd,0-4 år,København,Kalundborg,2011,3
Mænd,0-4 år,København,Kalundborg,2012,6
Mænd,0-4 år,København,Kalundborg,2013,9
Mænd,0-4 år,København,Kalundborg,2014,9
Mænd,0-4 år,København,Kalundborg,2015,8
Mænd,0-4 år,København,Kalundborg,2016,9
Mænd,0-4 år,København,Kalundborg,2017,9
Mænd,0-4 år,København,Lolland,2006,12
Mænd,0-4 år,København,Lolland,2007,14
Mænd,0-4 år,København,Lolland,2008,14
Mænd,0-4 år,København,Lolland,2009,9
Mænd,0-4 år,København,Lolland,2010,8
Mænd,0-4 år,København,Lolland,2011,1
Mænd,0-4 år,København,Lolland,2012,1
Mænd,0-4 år,København,Lolland,2013,5
Mænd,0-4 år,København,Lolland,2014,6
Mænd,0-4 år,København,Lolland,2015,2
Mænd,0-4 år,København,Lolland,2016,5
Mænd,0-4 år,København,Lolland,2017,5
Mænd,0-4 år,København,Næstved,2006,47
Mænd,0-4 år,København,Næstved,2007,36
Mænd,0-4 år,København,Næstved,2008,28
Mænd,0-4 år,København,Næstved,2009,13
Mænd,0-4 år,København,Næstved,2010,6
Mænd,0-4 år,København,Næstved,2011,12
Mænd,0-4 år,København,Næstved,2012,18
Mænd,0-4 år,København,Næstved,2013,18
Mænd,0-4 år,København,Næstved,2014,21
Mænd,0-4 år,København,Næstved,2015,20
Mænd,0-4 år,København,Næstved,2016,16
Mænd,0-4 år,København,Næstved,2017,19
Mænd,0-4 år,København,Odsherred,2006,12
Mænd,0-4 år,København,Odsherred,2007,11
Mænd,0-4 år,København,Odsherred,2008,11
Mænd,0-4 år,København,Odsherred,2009,1
Mænd,0-4 år,København,Odsherred,2010,4
Mænd,0-4 år,København,Odsherred,2011,3
Mænd,0-4 år,København,Odsherred,2012,10
Mænd,0-4 år,København,Odsherred,2013,9
Mænd,0-4 år,København,Odsherred,2014,13
Mænd,0-4 år,København,Odsherred,2015,11
Mænd,0-4 år,København,Odsherred,2016,12
Mænd,0-4 år,København,Odsherred,2017,8
Mænd,0-4 år,København,Ringsted,2006,22
Mænd,0-4 år,København,Ringsted,2007,27
Mænd,0-4 år,København,Ringsted,2008,15
Mænd,0-4 år,København,Ringsted,2009,12
Mænd,0-4 år,København,Ringsted,2010,16
Mænd,0-4 år,København,Ringsted,2011,13
Mænd,0-4 år,København,Ringsted,2012,9
Mænd,0-4 år,København,Ringsted,2013,8
Mænd,0-4 år,København,Ringsted,2014,11
Mænd,0-4 år,København,Ringsted,2015,11
Mænd,0-4 år,København,Ringsted,2016,15
Mænd,0-4 år,København,Ringsted,2017,22
Mænd,0-4 år,København,Slagelse,2006,22
Mænd,0-4 år,København,Slagelse,2007,20
Mænd,0-4 år,København,Slagelse,2008,21
Mænd,0-4 år,København,Slagelse,2009,16
Mænd,0-4 år,København,Slagelse,2010,14
Mænd,0-4 år,København,Slagelse,2011,9
Mænd,0-4 år,København,Slagelse,2012,14
Mænd,0-4 år,København,Slagelse,2013,11
Mænd,0-4 år,København,Slagelse,2014,16
Mænd,0-4 år,København,Slagelse,2015,13
Mænd,0-4 år,København,Slagelse,2016,15
Mænd,0-4 år,København,Slagelse,2017,18
Mænd,0-4 år,København,Sorø,2006,27
Mænd,0-4 år,København,Sorø,2007,23
Mænd,0-4 år,København,Sorø,2008,17
Mænd,0-4 år,København,Sorø,2009,6
Mænd,0-4 år,København,Sorø,2010,9
Mænd,0-4 år,København,Sorø,2011,9
Mænd,0-4 år,København,Sorø,2012,12
Mænd,0-4 år,København,Sorø,2013,15
Mænd,0-4 år,København,Sorø,2014,13
Mænd,0-4 år,København,Sorø,2015,20
Mænd,0-4 år,København,Sorø,2016,6
Mænd,0-4 år,København,Sorø,2017,20
Mænd,0-4 år,København,Stevns,2006,12
Mænd,0-4 år,København,Stevns,2007,12
Mænd,0-4 år,København,Stevns,2008,11
Mænd,0-4 år,København,Stevns,2009,4
Mænd,0-4 år,København,Stevns,2010,12
Mænd,0-4 år,København,Stevns,2011,7
Mænd,0-4 år,København,Stevns,2012,4
Mænd,0-4 år,København,Stevns,2013,9
Mænd,0-4 år,København,Stevns,2014,12
Mænd,0-4 år,København,Stevns,2015,8
Mænd,0-4 år,København,Stevns,2016,16
Mænd,0-4 år,København,Stevns,2017,18
Mænd,0-4 år,København,Vordingborg,2006,15
Mænd,0-4 år,København,Vordingborg,2007,12
Mænd,0-4 år,København,Vordingborg,2008,19
Mænd,0-4 år,København,Vordingborg,2009,16
Mænd,0-4 år,København,Vordingborg,2010,10
Mænd,0-4 år,København,Vordingborg,2011,10
Mænd,0-4 år,København,Vordingborg,2012,9
Mænd,0-4 år,København,Vordingborg,2013,15
Mænd,0-4 år,København,Vordingborg,2014,15
Mænd,0-4 år,København,Vordingborg,2015,14
Mænd,0-4 år,København,Vordingborg,2016,9
Mænd,0-4 år,København,Vordingborg,2017,17
Mænd,0-4 år,København,Assens,2006,5
Mænd,0-4 år,København,Assens,2007,5
Mænd,0-4 år,København,Assens,2008,3
Mænd,0-4 år,København,Assens,2009,1
Mænd,0-4 år,København,Assens,2010,1
Mænd,0-4 år,København,Assens,2011,6
Mænd,0-4 år,København,Assens,2012,0
Mænd,0-4 år,København,Assens,2013,0
Mænd,0-4 år,København,Assens,2014,2
Mænd,0-4 år,København,Assens,2015,3
Mænd,0-4 år,København,Assens,2016,1
Mænd,0-4 år,København,Assens,2017,3
