køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,Hvidovre,København,2007,13
Mænd,0-4 år,Hvidovre,København,2008,13
Mænd,0-4 år,Hvidovre,København,2009,38
Mænd,0-4 år,Hvidovre,København,2010,28
Mænd,0-4 år,Hvidovre,København,2011,18
Mænd,0-4 år,Hvidovre,København,2012,29
Mænd,0-4 år,Hvidovre,København,2013,25
Mænd,0-4 år,Hvidovre,København,2014,28
Mænd,0-4 år,Hvidovre,København,2015,27
Mænd,0-4 år,Hvidovre,København,2016,26
Mænd,0-4 år,Hvidovre,København,2017,20
Mænd,0-4 år,Høje-Taastrup,København,2006,18
Mænd,0-4 år,Høje-Taastrup,København,2007,11
Mænd,0-4 år,Høje-Taastrup,København,2008,15
Mænd,0-4 år,Høje-Taastrup,København,2009,7
Mænd,0-4 år,Høje-Taastrup,København,2010,20
Mænd,0-4 år,Høje-Taastrup,København,2011,8
Mænd,0-4 år,Høje-Taastrup,København,2012,16
Mænd,0-4 år,Høje-Taastrup,København,2013,18
Mænd,0-4 år,Høje-Taastrup,København,2014,15
Mænd,0-4 år,Høje-Taastrup,København,2015,18
Mænd,0-4 år,Høje-Taastrup,København,2016,18
Mænd,0-4 år,Høje-Taastrup,København,2017,19
Mænd,0-4 år,Ishøj,København,2006,2
Mænd,0-4 år,Ishøj,København,2007,4
Mænd,0-4 år,Ishøj,København,2008,5
Mænd,0-4 år,Ishøj,København,2009,4
Mænd,0-4 år,Ishøj,København,2010,4
Mænd,0-4 år,Ishøj,København,2011,6
Mænd,0-4 år,Ishøj,København,2012,8
Mænd,0-4 år,Ishøj,København,2013,1
Mænd,0-4 år,Ishøj,København,2014,4
Mænd,0-4 år,Ishøj,København,2015,10
Mænd,0-4 år,Ishøj,København,2016,6
Mænd,0-4 år,Ishøj,København,2017,9
Mænd,0-4 år,Lyngby-Taarbæk,København,2006,11
Mænd,0-4 år,Lyngby-Taarbæk,København,2007,9
Mænd,0-4 år,Lyngby-Taarbæk,København,2008,5
Mænd,0-4 år,Lyngby-Taarbæk,København,2009,16
Mænd,0-4 år,Lyngby-Taarbæk,København,2010,6
Mænd,0-4 år,Lyngby-Taarbæk,København,2011,22
Mænd,0-4 år,Lyngby-Taarbæk,København,2012,4
Mænd,0-4 år,Lyngby-Taarbæk,København,2013,16
Mænd,0-4 år,Lyngby-Taarbæk,København,2014,7
Mænd,0-4 år,Lyngby-Taarbæk,København,2015,19
Mænd,0-4 år,Lyngby-Taarbæk,København,2016,9
Mænd,0-4 år,Lyngby-Taarbæk,København,2017,17
Mænd,0-4 år,Rødovre,København,2006,11
Mænd,0-4 år,Rødovre,København,2007,16
Mænd,0-4 år,Rødovre,København,2008,15
Mænd,0-4 år,Rødovre,København,2009,19
Mænd,0-4 år,Rødovre,København,2010,16
Mænd,0-4 år,Rødovre,København,2011,17
Mænd,0-4 år,Rødovre,København,2012,11
Mænd,0-4 år,Rødovre,København,2013,30
Mænd,0-4 år,Rødovre,København,2014,25
Mænd,0-4 år,Rødovre,København,2015,12
Mænd,0-4 år,Rødovre,København,2016,17
Mænd,0-4 år,Rødovre,København,2017,17
Mænd,0-4 år,Vallensbæk,København,2006,8
Mænd,0-4 år,Vallensbæk,København,2007,3
Mænd,0-4 år,Vallensbæk,København,2008,2
Mænd,0-4 år,Vallensbæk,København,2009,4
Mænd,0-4 år,Vallensbæk,København,2010,2
Mænd,0-4 år,Vallensbæk,København,2011,9
Mænd,0-4 år,Vallensbæk,København,2012,2
Mænd,0-4 år,Vallensbæk,København,2013,5
Mænd,0-4 år,Vallensbæk,København,2014,1
Mænd,0-4 år,Vallensbæk,København,2015,4
Mænd,0-4 år,Vallensbæk,København,2016,7
Mænd,0-4 år,Vallensbæk,København,2017,6
Mænd,0-4 år,Allerød,København,2006,1
Mænd,0-4 år,Allerød,København,2007,1
Mænd,0-4 år,Allerød,København,2008,3
Mænd,0-4 år,Allerød,København,2009,2
Mænd,0-4 år,Allerød,København,2010,1
Mænd,0-4 år,Allerød,København,2011,1
Mænd,0-4 år,Allerød,København,2012,5
Mænd,0-4 år,Allerød,København,2013,3
Mænd,0-4 år,Allerød,København,2014,3
Mænd,0-4 år,Allerød,København,2015,1
Mænd,0-4 år,Allerød,København,2016,2
Mænd,0-4 år,Allerød,København,2017,3
Mænd,0-4 år,Egedal,København,2006,2
Mænd,0-4 år,Egedal,København,2007,4
Mænd,0-4 år,Egedal,København,2008,4
Mænd,0-4 år,Egedal,København,2009,0
Mænd,0-4 år,Egedal,København,2010,7
Mænd,0-4 år,Egedal,København,2011,6
Mænd,0-4 år,Egedal,København,2012,5
Mænd,0-4 år,Egedal,København,2013,8
Mænd,0-4 år,Egedal,København,2014,7
Mænd,0-4 år,Egedal,København,2015,2
Mænd,0-4 år,Egedal,København,2016,6
Mænd,0-4 år,Egedal,København,2017,6
Mænd,0-4 år,Fredensborg,København,2006,9
Mænd,0-4 år,Fredensborg,København,2007,6
Mænd,0-4 år,Fredensborg,København,2008,10
Mænd,0-4 år,Fredensborg,København,2009,7
Mænd,0-4 år,Fredensborg,København,2010,8
Mænd,0-4 år,Fredensborg,København,2011,6
Mænd,0-4 år,Fredensborg,København,2012,8
Mænd,0-4 år,Fredensborg,København,2013,4
Mænd,0-4 år,Fredensborg,København,2014,13
Mænd,0-4 år,Fredensborg,København,2015,7
Mænd,0-4 år,Fredensborg,København,2016,5
Mænd,0-4 år,Fredensborg,København,2017,8
Mænd,0-4 år,Frederikssund,København,2006,5
Mænd,0-4 år,Frederikssund,København,2007,3
Mænd,0-4 år,Frederikssund,København,2008,3
Mænd,0-4 år,Frederikssund,København,2009,5
Mænd,0-4 år,Frederikssund,København,2010,6
Mænd,0-4 år,Frederikssund,København,2011,3
Mænd,0-4 år,Frederikssund,København,2012,4
Mænd,0-4 år,Frederikssund,København,2013,11
Mænd,0-4 år,Frederikssund,København,2014,11
Mænd,0-4 år,Frederikssund,København,2015,9
Mænd,0-4 år,Frederikssund,København,2016,6
Mænd,0-4 år,Frederikssund,København,2017,3
Mænd,0-4 år,Furesø,København,2006,9
Mænd,0-4 år,Furesø,København,2007,6
Mænd,0-4 år,Furesø,København,2008,7
Mænd,0-4 år,Furesø,København,2009,8
Mænd,0-4 år,Furesø,København,2010,13
Mænd,0-4 år,Furesø,København,2011,13
Mænd,0-4 år,Furesø,København,2012,9
Mænd,0-4 år,Furesø,København,2013,11
Mænd,0-4 år,Furesø,København,2014,8
Mænd,0-4 år,Furesø,København,2015,5
Mænd,0-4 år,Furesø,København,2016,4
Mænd,0-4 år,Furesø,København,2017,7
Mænd,0-4 år,Gribskov,København,2006,2
Mænd,0-4 år,Gribskov,København,2007,8
Mænd,0-4 år,Gribskov,København,2008,4
Mænd,0-4 år,Gribskov,København,2009,8
Mænd,0-4 år,Gribskov,København,2010,3
Mænd,0-4 år,Gribskov,København,2011,3
Mænd,0-4 år,Gribskov,København,2012,4
Mænd,0-4 år,Gribskov,København,2013,7
Mænd,0-4 år,Gribskov,København,2014,7
Mænd,0-4 år,Gribskov,København,2015,2
Mænd,0-4 år,Gribskov,København,2016,9
Mænd,0-4 år,Gribskov,København,2017,7
Mænd,0-4 år,Halsnæs,København,2006,4
Mænd,0-4 år,Halsnæs,København,2007,4
Mænd,0-4 år,Halsnæs,København,2008,2
Mænd,0-4 år,Halsnæs,København,2009,2
Mænd,0-4 år,Halsnæs,København,2010,2
Mænd,0-4 år,Halsnæs,København,2011,6
Mænd,0-4 år,Halsnæs,København,2012,2
Mænd,0-4 år,Halsnæs,København,2013,1
Mænd,0-4 år,Halsnæs,København,2014,0
Mænd,0-4 år,Halsnæs,København,2015,2
Mænd,0-4 år,Halsnæs,København,2016,4
Mænd,0-4 år,Halsnæs,København,2017,1
Mænd,0-4 år,Helsingør,København,2006,17
Mænd,0-4 år,Helsingør,København,2007,10
Mænd,0-4 år,Helsingør,København,2008,13
Mænd,0-4 år,Helsingør,København,2009,15
Mænd,0-4 år,Helsingør,København,2010,13
Mænd,0-4 år,Helsingør,København,2011,5
Mænd,0-4 år,Helsingør,København,2012,9
Mænd,0-4 år,Helsingør,København,2013,14
Mænd,0-4 år,Helsingør,København,2014,7
Mænd,0-4 år,Helsingør,København,2015,8
Mænd,0-4 år,Helsingør,København,2016,3
Mænd,0-4 år,Helsingør,København,2017,11
Mænd,0-4 år,Hillerød,København,2006,8
Mænd,0-4 år,Hillerød,København,2007,9
Mænd,0-4 år,Hillerød,København,2008,7
Mænd,0-4 år,Hillerød,København,2009,5
Mænd,0-4 år,Hillerød,København,2010,6
Mænd,0-4 år,Hillerød,København,2011,5
Mænd,0-4 år,Hillerød,København,2012,6
Mænd,0-4 år,Hillerød,København,2013,6
Mænd,0-4 år,Hillerød,København,2014,9
Mænd,0-4 år,Hillerød,København,2015,5
Mænd,0-4 år,Hillerød,København,2016,10
Mænd,0-4 år,Hillerød,København,2017,2
Mænd,0-4 år,Hørsholm,København,2006,2
Mænd,0-4 år,Hørsholm,København,2007,5
Mænd,0-4 år,Hørsholm,København,2008,2
Mænd,0-4 år,Hørsholm,København,2009,3
Mænd,0-4 år,Hørsholm,København,2010,1
Mænd,0-4 år,Hørsholm,København,2011,2
Mænd,0-4 år,Hørsholm,København,2012,4
Mænd,0-4 år,Hørsholm,København,2013,2
Mænd,0-4 år,Hørsholm,København,2014,5
Mænd,0-4 år,Hørsholm,København,2015,5
Mænd,0-4 år,Hørsholm,København,2016,4
Mænd,0-4 år,Hørsholm,København,2017,3
Mænd,0-4 år,Rudersdal,København,2006,7
Mænd,0-4 år,Rudersdal,København,2007,11
Mænd,0-4 år,Rudersdal,København,2008,12
Mænd,0-4 år,Rudersdal,København,2009,10
Mænd,0-4 år,Rudersdal,København,2010,12
Mænd,0-4 år,Rudersdal,København,2011,10
Mænd,0-4 år,Rudersdal,København,2012,12
Mænd,0-4 år,Rudersdal,København,2013,6
Mænd,0-4 år,Rudersdal,København,2014,12
Mænd,0-4 år,Rudersdal,København,2015,6
Mænd,0-4 år,Rudersdal,København,2016,8
Mænd,0-4 år,Rudersdal,København,2017,12
Mænd,0-4 år,Bornholm,København,2006,5
Mænd,0-4 år,Bornholm,København,2007,9
Mænd,0-4 år,Bornholm,København,2008,3
Mænd,0-4 år,Bornholm,København,2009,6
Mænd,0-4 år,Bornholm,København,2010,2
Mænd,0-4 år,Bornholm,København,2011,2
Mænd,0-4 år,Bornholm,København,2012,5
Mænd,0-4 år,Bornholm,København,2013,3
Mænd,0-4 år,Bornholm,København,2014,5
Mænd,0-4 år,Bornholm,København,2015,2
Mænd,0-4 år,Bornholm,København,2016,2
Mænd,0-4 år,Bornholm,København,2017,1
Mænd,0-4 år,Christiansø,København,2006,0
Mænd,0-4 år,Christiansø,København,2007,0
Mænd,0-4 år,Christiansø,København,2008,0
Mænd,0-4 år,Christiansø,København,2009,0
Mænd,0-4 år,Christiansø,København,2010,0
Mænd,0-4 år,Christiansø,København,2011,0
Mænd,0-4 år,Christiansø,København,2012,0
Mænd,0-4 år,Christiansø,København,2013,0
Mænd,0-4 år,Christiansø,København,2014,0
Mænd,0-4 år,Christiansø,København,2015,0
Mænd,0-4 år,Christiansø,København,2016,0
Mænd,0-4 år,Christiansø,København,2017,0
Mænd,0-4 år,Greve,København,2006,10
Mænd,0-4 år,Greve,København,2007,7
Mænd,0-4 år,Greve,København,2008,11
Mænd,0-4 år,Greve,København,2009,10
Mænd,0-4 år,Greve,København,2010,2
Mænd,0-4 år,Greve,København,2011,2
Mænd,0-4 år,Greve,København,2012,5
Mænd,0-4 år,Greve,København,2013,5
Mænd,0-4 år,Greve,København,2014,3
Mænd,0-4 år,Greve,København,2015,8
Mænd,0-4 år,Greve,København,2016,5
Mænd,0-4 år,Greve,København,2017,5
Mænd,0-4 år,Køge,København,2006,9
Mænd,0-4 år,Køge,København,2007,10
Mænd,0-4 år,Køge,København,2008,9
Mænd,0-4 år,Køge,København,2009,10
Mænd,0-4 år,Køge,København,2010,9
Mænd,0-4 år,Køge,København,2011,5
Mænd,0-4 år,Køge,København,2012,7
Mænd,0-4 år,Køge,København,2013,5
Mænd,0-4 år,Køge,København,2014,8
Mænd,0-4 år,Køge,København,2015,10
Mænd,0-4 år,Køge,København,2016,4
Mænd,0-4 år,Køge,København,2017,5
Mænd,0-4 år,Lejre,København,2006,2
Mænd,0-4 år,Lejre,København,2007,6
Mænd,0-4 år,Lejre,København,2008,1
Mænd,0-4 år,Lejre,København,2009,1
Mænd,0-4 år,Lejre,København,2010,0
Mænd,0-4 år,Lejre,København,2011,4
Mænd,0-4 år,Lejre,København,2012,2
Mænd,0-4 år,Lejre,København,2013,6
Mænd,0-4 år,Lejre,København,2014,1
Mænd,0-4 år,Lejre,København,2015,1
Mænd,0-4 år,Lejre,København,2016,1
Mænd,0-4 år,Lejre,København,2017,6
Mænd,0-4 år,Roskilde,København,2006,7
Mænd,0-4 år,Roskilde,København,2007,10
Mænd,0-4 år,Roskilde,København,2008,12
Mænd,0-4 år,Roskilde,København,2009,6
Mænd,0-4 år,Roskilde,København,2010,9
Mænd,0-4 år,Roskilde,København,2011,9
Mænd,0-4 år,Roskilde,København,2012,4
Mænd,0-4 år,Roskilde,København,2013,10
Mænd,0-4 år,Roskilde,København,2014,3
Mænd,0-4 år,Roskilde,København,2015,10
Mænd,0-4 år,Roskilde,København,2016,11
Mænd,0-4 år,Roskilde,København,2017,10
Mænd,0-4 år,Solrød,København,2006,4
Mænd,0-4 år,Solrød,København,2007,2
Mænd,0-4 år,Solrød,København,2008,1
Mænd,0-4 år,Solrød,København,2009,2
Mænd,0-4 år,Solrød,København,2010,3
Mænd,0-4 år,Solrød,København,2011,1
Mænd,0-4 år,Solrød,København,2012,3
Mænd,0-4 år,Solrød,København,2013,1
Mænd,0-4 år,Solrød,København,2014,3
Mænd,0-4 år,Solrød,København,2015,1
Mænd,0-4 år,Solrød,København,2016,4
Mænd,0-4 år,Solrød,København,2017,5
Mænd,0-4 år,Faxe,København,2006,1
Mænd,0-4 år,Faxe,København,2007,7
Mænd,0-4 år,Faxe,København,2008,1
Mænd,0-4 år,Faxe,København,2009,3
Mænd,0-4 år,Faxe,København,2010,6
Mænd,0-4 år,Faxe,København,2011,2
Mænd,0-4 år,Faxe,København,2012,7
Mænd,0-4 år,Faxe,København,2013,7
Mænd,0-4 år,Faxe,København,2014,0
Mænd,0-4 år,Faxe,København,2015,4
Mænd,0-4 år,Faxe,København,2016,6
Mænd,0-4 år,Faxe,København,2017,3
Mænd,0-4 år,Guldborgsund,København,2006,6
Mænd,0-4 år,Guldborgsund,København,2007,15
Mænd,0-4 år,Guldborgsund,København,2008,8
Mænd,0-4 år,Guldborgsund,København,2009,2
Mænd,0-4 år,Guldborgsund,København,2010,3
Mænd,0-4 år,Guldborgsund,København,2011,5
Mænd,0-4 år,Guldborgsund,København,2012,5
Mænd,0-4 år,Guldborgsund,København,2013,2
Mænd,0-4 år,Guldborgsund,København,2014,0
Mænd,0-4 år,Guldborgsund,København,2015,5
Mænd,0-4 år,Guldborgsund,København,2016,6
Mænd,0-4 år,Guldborgsund,København,2017,9
Mænd,0-4 år,Holbæk,København,2006,10
Mænd,0-4 år,Holbæk,København,2007,15
Mænd,0-4 år,Holbæk,København,2008,6
Mænd,0-4 år,Holbæk,København,2009,7
Mænd,0-4 år,Holbæk,København,2010,5
Mænd,0-4 år,Holbæk,København,2011,7
Mænd,0-4 år,Holbæk,København,2012,8
Mænd,0-4 år,Holbæk,København,2013,7
Mænd,0-4 år,Holbæk,København,2014,5
Mænd,0-4 år,Holbæk,København,2015,7
